Table S2: differentially regulated genes (DEGs) between mouse GP1 and GP2 clusters;;;;;;
;;;;;;
Gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
AHNAK2;0,134646175;0,05576218;0,406473691;0,561309569;0,574586519;
RAB36;0,042145092;0,055724265;0,494753008;0,317503679;0,750861449;
PEAR1;0,147430841;0,055696604;0,368066472;0,578307706;0,563056393;
PSEN1;0,711432434;0,05561327;0,236478051;0,447602118;0,654440374;0,803276745
LLGL1;0,184759881;0,055600156;0,35419118;0,600811378;0,547965625;
1700010I14RIK;0,039443998;0,055577931;0,542745313;0,328519846;0,742518641;
CMTM7;0,618528877;0,055489798;0,218057451;0,415779601;0,677571287;0,819204522
UBE3C;1,236756293;0,055480669;0,196829762;0,294437539;0,768423585;0,876827206
DRAP1;1,418768142;0,055474295;0,150536449;0,434671137;0,663801152;0,809758596
PLEKHG2;0,481109886;0,055459503;0,278014284;0,386143186;0,699390628;0,835368944
ETFDH;0,178731216;0,055455486;0,335676042;0,66881039;0,503616438;
EMC10;1,247477466;0,055393729;0,169060644;0,409878496;0,68189508;0,822351435
MYL12B;0,271562501;0,055336178;0,299433386;0,720796707;0,471034602;
LRRC56;0,094638498;0,055031712;0,467466472;0,259017012;0,795622114;
AI987944;0,280359371;0,05501028;0,331219246;0,40038187;0,688875275;
PJA2;1,964437193;0,054909387;0,154018606;0,394885172;0,692927634;0,830978081
TSACC;0,077035174;0,054884246;0,434959131;0,431429371;0,666156197;
SMARCD3;0,109547436;0,05482715;0,386848325;0,60181232;0,547299073;
ZFP41;0,057890728;0,054816919;0,458745385;0,351673921;0,72508282;
SNAPC5;0,277020033;0,054744455;0,317574461;0,72016561;0,471423035;
SMOX;0,266562498;0,054682413;0,339112289;0,726885741;0,467295953;
TRMO;0,044510862;0,054670327;0,465831858;0,333273903;0,738927537;
ZDHHC16;0,158007197;0,054588024;0,360047971;0,613669766;0,539433571;
SPAG5;0,226285849;0,054468598;0,382383684;0,419726465;0,67468529;
LTF;0,052476016;0,054445949;0,435300669;0,364832558;0,7152364;
4930590J08RIK;0,041505121;0,054431174;0,474652204;0,313952938;0,753556783;
UBE2R2;1,713644944;0,054424887;0,162253189;0,399128171;0,689798766;0,827868848
MELK;0,112625939;0,054403149;0,454645131;0,335875527;0,736964732;
PDPR;0,138682645;0,054402011;0,365908629;0,558161207;0,576734308;
DIPK1B;0,11722239;0,054388667;0,384696778;0,555761393;0,578373981;
ALG13;0,391650773;0,054320806;0,306364785;0,466911825;0,640562965;0,792033666
FDXACB1;0,048261437;0,054311254;0,453955769;0,328399485;0,742609632;
ASCC1;0,326469285;0,05428744;0,292437055;0,626851367;0,530756669;0,709896023
NEURL1A;0,035930136;0,054221473;0,479999506;0,325031126;0,745157515;
PSMF1;0,231020259;0,05421975;0,308431587;0,759998495;0,447255484;
PLEKHA4;0,064574426;0,054147781;0,45381545;0,350636104;0,725861367;
ASB8;0,093059945;0,054023814;0,393098917;0,544559829;0,586056289;
ZFP395;0,696208704;0,053936626;0,22462628;0,381559051;0,702788463;0,837950467
LAX1;0,046546272;0,053910133;0,81016124;0,188836833;0,850220703;
EPRS;2,976382889;0,053902638;0,145141319;0,416517426;0,677031419;0,819030024
CNKSR2;0,18241267;0,053850198;0,383439725;0,716056277;0,4739566;
SPATA2;0,156973143;0,053837197;0,36321325;0,610167148;0,54175109;
CAMK2G;0,548187487;0,053761093;0,288735606;0,495703033;0,620103947;0,777884838
EIF3M;1,273269398;0,053702419;0,158792071;0,403526737;0,68656077;0,825414264
ESRRA;0,104227641;0,053702181;0,39774146;0,520731975;0,602553496;
TNFAIP8L1;0,044880783;0,053682185;0,471651813;0,30423;0,760952671;
CORO6;0,034151956;0,053556586;0,508600847;0,290335819;0,771559339;
IL20RB;0,083125694;0,053538541;0,414276941;0,479368377;0,631676586;
CDH11;0,317475707;0,053510309;0,338299668;0,522521135;0,601307535;0,765302498
NR4A1;6,320202154;0,053509665;0,17751814;0,364299243;0,715634565;0,845070118
SGSM3;0,146443518;0,053499833;0,364873143;0,650366635;0,515455424;
MECR;0,183747765;0,053466594;0,352389017;0,572172715;0,56720497;
GSKIP;0,362719794;0,053401316;0,30235526;0,569512279;0,56900854;0,739857363
MMP28;0,036787783;0,053174955;0,497352567;0,333598711;0,738682391;
KBTBD4;0,081776547;0,053098073;0,410704588;0,489046304;0,624808916;
TADA3;0,186466877;0,05307735;0,343852952;0,724786908;0,468582769;
CAMKK1;0,093678266;0,05304176;0,403026397;0,400500167;0,688788161;
NSMF;0,223365565;0,053037588;0,332066645;0,58389834;0,55928871;
CYP3A13;0,172711663;0,052916276;0,38461203;0,506564919;0,612460128;
AGTRAP;0,159804175;0,052865975;0,351806957;0,586080113;0,55782168;
STRADB;0,091323492;0,052856881;0,417618282;0,46268019;0,64359362;
CAPN3;0,023398093;0,052817066;0,62878392;0,241120601;0,809461647;
FOXM1;0,027577337;0,052802308;0,724955669;0,227237836;0,820238808;
SLC1A3;0,114194803;0,052768169;0,424891994;0,463144676;0,643260669;
B4GALT6;0,412600564;0,052761304;0,279574639;0,589253177;0,55569145;0,729491818
ERMARD;0,197393016;0,052731675;0,347298215;0,662177739;0,507857319;
ELMO3;0,03289937;0,052666934;0,549244311;0,245529455;0,806046504;
ARHGAP6;0,243496476;0,052661401;0,395326828;0,641921125;0,520924397;
ZFP408;0,082153573;0,052612655;0,421775104;0,405095297;0,685407463;
DHODH;0,053282276;0,052561268;0,438627966;0,358737311;0,719791614;
BCKDHA;0,201282471;0,052545112;0,328070291;0,75792895;0,448493518;
BUD31;0,760398203;0,052504959;0,212156075;0,367606928;0,713166348;0,844328065
PPCDC;0,109826537;0,052466208;0,388904928;0,543693971;0,586652082;
ZFP775;0,032548692;0,05238516;0,610350368;0,245624188;0,805973163;
PRMT9;0,229144889;0,052353358;0,354055194;0,578294994;0,563064974;
ZFP982;0,052832023;0,052282174;0,482073409;0,23767057;0,812136611;
FES;0,044676618;0,052261755;0,592685988;0,242513929;0,808381965;
GATAD1;0,649639336;0,052237014;0,226324097;0,37861288;0,704975356;0,839863828
CCDC130;0,047589821;0,05222252;0,471514881;0,315485199;0,752393287;
ATG14;0,097179607;0,052114643;0,40275277;0,429463983;0,667585599;
L3MBTL2;0,064098794;0,052039457;0,439044145;0,376672603;0,706416926;
PTP4A1;0,052349341;0,051998573;0,524313718;0,251206814;0,801654217;
ANGPTL7;0,004812426;0,051997304;4,031531062;0,140306808;0,888417586;
HSDL1;0,047511799;0,051974039;0,469230868;0,364064937;0,715809519;
TARSL2;0,044169963;0,051966799;0,47162677;0,314650143;0,753027303;
RIF1;0,635735259;0,051910329;0,251618052;0,397244802;0,691186947;0,82921076
SUCLG2;0,60269339;0,051899225;0,211582718;0,443363687;0,657502697;0,805920827
TTI1;0,077299879;0,051896316;0,42473694;0,357724192;0,720549727;
ZFP830;0,079502805;0,05183765;0,404576947;0,456784482;0,64782596;
FDX1;0,467037986;0,051836892;0,245363543;0,556146905;0,578110433;0,746771056
FIGNL1;0,046320744;0,051827178;0,468509753;0,294504049;0,76837277;
SMURF2;1,921107442;0,051775611;0,205548237;-1,647425657;0,099470585;0,241465915
CNKSR3;1,582622904;0,051772404;0,20981414;0,258578843;0,795960209;0,894123837
TBCCD1;0,094601536;0,051730976;0,396849994;0,49850022;0,618131514;
KIF28;0,036642208;0,051690607;0,503104505;0,301628769;0,762935074;
GM20503;0,127313957;0,051685838;0,399713185;0,35553924;0,722185654;
SPDYA;0,024053977;0,051609625;0,620010219;0,24397954;0,807246666;
GYS1;0,168332179;0,051582375;0,374002169;0,542864496;0,587223103;
GPBP1;0,716612976;0,051541011;0,218100685;0,348964752;0,727115772;0,851819659
MAN1C1;0,265767621;0,051534518;0,332064515;0,558102305;0,576774527;
TXNDC15;0,473897624;0,051521797;0,244060424;0,54027771;0,589005528;0,755146805
2010300C02RIK;0,084102518;0,051458761;0,42798175;0,350365913;0,726064104;
ATG7;0,246767523;0,05130732;0,323705481;0,653243637;0,513599222;
PAOX;0,084567407;0,051141495;0,413318239;0,479541407;0,631553519;
TOR1AIP2;1,27240753;0,05112871;0,174890187;0,343067531;0,731547657;0,854526898
FUS;5,566941246;0,051100159;0,121650273;0,465961487;0,641243068;0,792131707
MTRF1;0,064498741;0,051036925;0,435111791;0,389424101;0,696962446;
DDX46;0,744496022;0,050975109;0,198910448;0,38941327;0,696970457;0,833733965
FAM20B;2,143801869;0,050971668;0,149820111;0,365194456;0,714966256;0,845053622
TIMM10B;0,173414231;0,050948379;0,332634449;0,656526931;0,511485145;
TMEM212;0,04753593;0,050886452;0,58315707;0,243329119;0,807750448;
HS1BP3;0,042362127;0,0508409;0,486159074;0,269519683;0,787529797;
GM49361;0,051658425;0,05076292;0,503932852;0,255184571;0,798580548;
GAL3ST1;0,450819461;0,050729427;0,256022174;0,607873764;0,543271202;0,719991271
CEBPG;0,749012814;0,050647632;0,245133072;0,354939592;0,722634847;0,849708058
SLC30A5;0,999773607;0,050546676;0,181198168;0,363077884;0,716546705;0,845381976
ZFP964;0,046270434;0,050534111;0,535844071;0,215917572;0,829052;
PEX14;0,412431038;0,050525044;0,258202423;0,521913076;0,601730854;0,76534645
TAOK1;2,067308117;0,050511941;0,16662707;0,303364334;0,761612223;0,872259426
FAF2;0,762059433;0,050426506;0,20756478;0,359620734;0,719130776;0,846934015
RGS2;0,076426;0,050405967;0,431816209;0,359444334;0,719262714;
KCNAB2;0,024005766;0,050354881;0,582555071;0,208219032;0,835057949;
EHD1;0,349252911;0,050284175;0,268664741;0,634038083;0,526055969;0,706907977
POF1B;0,140387572;0,050273663;0,430234271;0,343501947;0,731220877;
THOC2;1,765463549;0,050212745;0,169709418;0,329452494;0,741813695;0,86133024
GRHL1;0,019879479;0,050104229;0,722766397;0,22253409;0,823898138;
ACTA2;0,065298747;0,050078009;0,501188721;0,358351634;0,720080182;
TRMT10C;0,13663119;0,050052295;0,37110808;0,583231802;0,559737265;
MYL4;0,20587655;0,050040693;0,354845073;0,672020776;0,50157047;
E4F1;0,167264563;0,050023376;0,342079711;0,654908596;0,512526605;
DCLRE1C;0,119403887;0,049989826;0,389453733;0,428176211;0,668522834;
CBX7;0,044430869;0,049989188;0,496741026;0,287053278;0,774071526;
TNNT3;0,128340966;0,049974722;0,393471271;0,475305688;0,634569105;
VWC2;0,213354005;0,049974515;0,378581779;0,526653079;0,598434525;
ARHGAP12;0,775744078;0,049904296;0,283872999;0,097617939;0,922235679;0,965500541
PLCB4;0,360254658;0,049880839;0,313849228;0,694698876;0,487244033;0,676020384
IPO9;0,348048576;0,049871966;0,28231018;0,48139954;0,630232563;0,784971933
AK3;0,071474595;0,049836332;0,433684235;0,467346117;0,640252267;
HAUS3;0,103872237;0,049720603;0,40617137;0,451770085;0,651434623;
LRRC57;0,095196285;0,049667018;0,40241606;0,499644963;0,617325092;
KIN;0,283136744;0,049652668;0,314733711;0,623541667;0,53292863;
ZBTB8A;0,042761745;0,049627327;0,497132634;0,294228491;0,768583311;
MMACHC;0,055385843;0,049581663;0,447063173;0,37911443;0,704602891;
THPO;0,024862355;0,049534124;0,594886645;0,228878883;0,818963054;
GPATCH2;0,755342359;0,049528134;0,228522788;0,305860507;0,759710857;0,871367032
OFD1;0,183876492;0,049474043;0,356171884;0,548446206;0,583385557;
SLC18A2;0,065836752;0,049448569;0,650196917;0,169530785;0,86537916;
MDM1;0,088261587;0,049432339;0,415649776;0,488629316;0,625104154;
SUCO;1,526034285;0,049410921;0,20365571;0,301783014;0,762817481;0,873156844
FAM241B;0,021691459;0,049402478;0,597347462;0,222942097;0,823580572;
DIS3L;0,117893625;0,049402224;0,408313635;0,49240334;0,622434238;
AVPI1;0,254372362;0,049373093;0,298883931;0,700434695;0,483655875;
GTF3A;0,13403837;0,049263698;0,372758084;0,604863271;0,545269849;
SMIM12;0,075450415;0,049248265;0,410139425;0,438217383;0,661228709;
ZFP84;0,079243122;0,049247414;0,421149658;0,46717645;0,640373641;
GALK2;0,495119493;0,049223031;0,275828523;0,331970048;0,739911876;0,860414184
CEP152;0,11983469;0,049188234;0,403770059;0,489430971;0,624536614;
NARS2;0,513262085;0,04915341;0,284399697;0,339016588;0,734597234;0,856639387
SPECC1L;0,997787598;0,049115461;0,207486649;0,327664507;0,743165342;0,861908229
TES3-PS;0,061342194;0,049059089;0,437914089;0,411472455;0,680726135;
LIN52;0,513163635;0,049029193;0,297115694;0,50784029;0,611565352;0,77310622
GLYR1;1,333144841;0,049012923;0,198384826;0,349066057;0,727039718;0,851819659
TCEAL5;0,120773551;0,04899039;0,37060298;0,516593421;0,60544001;
NUDCD1;0,617389863;0,048967015;0,238409721;0,373974369;0,708423386;0,841117368
PI15;0,032973146;0,04895937;0,838269581;0,216724266;0,828423236;
SCAPER;1,515088707;0,048904292;0,191843655;-1,559765183;0,118815382;0,274594992
MAN2C1;0,13022806;0,048855728;0,382074589;0,564617869;0,572333708;
TMEM268;0,045207086;0,048805597;0,449841304;0,330632225;0,740922302;
SF3A2;0,189980984;0,04880344;0,33435961;0,651655959;0,51462314;
AVEN;0,41016704;0,048794514;0,269267429;0,598884489;0,549249915;0,724711231
SETD5;2,959599093;0,048780982;0,173086595;0,299132194;0,764839183;0,874826184
HIST1H2BM;0,030724771;0,048769614;0,588573871;0,237579117;0,812207549;
NDUFS4;1,029900383;0,048729463;0,182147975;0,346156728;0,729224933;0,852911746
RHOF;0,096571143;0,048624695;0,419638847;0,398556562;0,690219974;
ZC2HC1C;0,058233182;0,048607226;0,536762666;0,218598418;0,826962885;
TAF6L;0,044440096;0,048557684;0,469662549;0,323363345;0,746420086;
NMRAL1;0,043841553;0,048539288;0,473012254;0,278040439;0,780981316;
INCENP;0,203016696;0,048510769;0,430849324;0,400248535;0,68897347;
0610040J01RIK;0,042743522;0,048490308;1,570668767;0,24666127;0,805170382;
EPB41L4A;0,276951952;0,048484973;0,362891044;0,187684819;0,851123732;
XPNPEP1;0,306348474;0,048471817;0,29342267;0,666802875;0,504898056;0,688857785
LRFN5;0,050091397;0,048468662;1,67223951;0,237929106;0,81193608;
MPST;0,033635714;0,048427812;0,473935226;0,325274176;0,744973573;
TPPP3;0,066729305;0,048421577;0,50273251;0,270283905;0,786941847;
DCAF12L2;0,03017047;0,048368323;0,648591745;0,209953716;0,833703797;
PTCRA;0,022442448;0,048349501;0,596203541;0,227554414;0,819992663;
USP49;0,052391482;0,04833339;0,448457724;0,411002673;0,681070575;
GM266;0,025379362;0,048327874;0,572070168;0,208874468;0,834546236;
PLEKHH3;0,112072876;0,048327847;0,395665378;0,522365962;0,601415551;
DCXR;0,056253086;0,048321627;0,430196581;0,400446305;0,688827825;
ATP5O;0,273605733;0,048304993;0,306736416;0,705839683;0,480287841;
RB1;0,533934946;0,048290779;0,276495274;0,506099403;0,61278687;0,774020341
NFKB2;0,33912949;0,048272301;0,279646195;0,643983906;0,51958587;0,700904979
TNIK;0,088221906;0,0482492;0,504208976;0,239154223;0,810985997;
RAB17;0,084162031;0,0482459;0,430191001;0,324589685;0,745491635;
2610002M06RIK;0,112776131;0,04822575;0,391167185;0,487921742;0,625605273;
ZFC3H1;1,559752059;0,048221477;0,226737865;0,02308352;0,981583651;0,992060054
MAN2B2;0,172190955;0,048189863;0,342617571;0,697994499;0,485180634;
ADGRE5;0,040328445;0,048189275;0,499308961;0,244534544;0,806816852;
THOC5;0,095345303;0,048172078;0,392636113;0,501779047;0,615822954;
WWC2;1,924297097;0,048145075;0,193898093;0,200333887;0,841219461;0,920741842
LAPTM5;0,031229928;0,048137728;0,517122238;0,276792386;0,781939528;
CWC22;0,359027717;0,048111375;0,270937926;0,548137376;0,583597579;0,751609306
GID4;0,667768992;0,048064053;0,209303314;0,383953334;0,701013036;0,836958097
DUS3L;0,099093153;0,048021675;0,402355682;0,508714146;0,610952605;
NCAPD3;0,348832185;0,048010315;0,350263647;0,688229195;0,491308462;0,67866171
ALDOC;0,048571643;0,047995654;0,462533318;0,402145351;0,687577058;
LRRC39;0,04143788;0,047969009;1,565907843;0,258139785;0,796299028;
KIF20B;0,322082184;0,047937958;0,410352499;0,411292097;0,680858364;0,821898981
MRPL36;0,564068258;0,047906474;0,217746209;0,419947002;0,674524171;0,816799679
HIST1H3E;0,032449167;0,047891423;0,573792102;0,225037281;0,821950272;
SNX29;1,03977297;0,047770636;0,241384399;0,126663218;0,899206959;0,953445103
GRM7;0,0669771;0,047764688;0,941554764;0,171865515;0,863543258;
RILP;0,039391159;0,047679596;0,533145929;0,254316302;0,799251206;
KAT5;0,207252227;0,047675252;0,336085277;0,486362452;0,626710207;
MYO9A;2,342205069;0,047590646;0,16789477;0,337150752;0,73600326;0,857514522
KLHL28;0,258988022;0,047573818;0,32924943;0,542344293;0,587581348;
GM14443;0,075331515;0,047466924;0,448763334;0,20812973;0,835127674;
PRADC1;0,092494932;0,04744127;0,400485691;0,480295557;0,631017248;
BPIFC;0,060283102;0,047429248;0,610997655;0,229933727;0,818143268;
TAF1A;0,242907902;0,047418047;0,338737795;0,500209942;0,616927259;
SPAAR;0,091716219;0,047398957;0,425086449;0,464030514;0,642625884;
GM10643;0,04381405;0,047395806;0,461373112;0,303969789;0,761150908;
EXOC6;0,030290782;0,047302887;0,539862218;0,258926466;0,795691977;
EDC3;0,245889742;0,047283655;0,314476197;0,6632639;0,507161553;
COQ4;0,037501135;0,04720279;0,450787511;0,300451571;0,763832732;
ZFP607B;0,038380082;0,047185389;0,466774255;0,304433463;0,760797677;
METTL14;0,097514406;0,047161835;0,389228562;0,490924802;0,623479635;
ATRN;0,867543776;0,047152781;0,225316867;0,186754508;0,851853117;0,925447982
ZFP626;0,05166745;0,047145766;0,450676082;0,340502847;0,733477879;
ZFP458;0,049293303;0,047137504;0,456154823;0,355700982;0,72206451;
TRIM28;0,590326868;0,047124247;0,217869793;0,430568223;0,666782351;0,811848679
RPS6KA1;0,096282;0,047101776;0,394264277;0,464969578;0,641953243;
FREM1;0,052141677;0,047064518;0,513591071;0,313639512;0,753794847;
CASP6;0,067688023;0,047059148;0,428268385;0,406372546;0,684468889;
BMP2K;0,572884434;0,046970199;0,279413779;0,393024335;0,694301508;0,831822752
FTSJ3;0,129800102;0,0469578;0,37390896;0,625341218;0,531747133;
CENPO;0,064864802;0,046948547;0,434724974;0,333213707;0,738972972;
CABIN1;0,317024427;0,046925701;0,284251546;0,596247391;0,551009971;0,72641637
SMG9;0,098825713;0,046900926;0,404686342;0,415107801;0,678062989;
NDFIP2;0,610903432;0,046878906;0,229932562;0,348976046;0,727107293;0,851819659
HSD17B1;0,053708251;0,046855019;1,153168408;0,149983541;0,880777601;
AGT;0,169553547;0,046837347;0,381771951;0,531555016;0,595034227;
ZFP961;0,088838018;0,046834449;0,411090285;0,408117272;0,68318758;
THAP12;0,486238801;0,046828784;0,248928914;0,539975585;0,58921387;0,755146805
LRRC47;0,155350414;0,046800389;0,345905179;0,736076352;0,461684233;
BBOX1;0,033376127;0,046761575;0,50579413;0,257075737;0,797120308;
NUFIP1;0,166470987;0,04676093;0,350174579;0,492138194;0,622621654;
CENPQ;0,257906396;0,046747088;0,346303251;0,498178437;0,61835828;
RUFY1;0,184631567;0,046746928;0,364708848;0,542385356;0,587553066;
NPEPPS;1,103430863;0,046697537;0,199748858;0,243868248;0,807332862;0,900630467
CENPC1;0,535236119;0,046686571;0,292275218;0,511136391;0,609255556;0,771127855
MRPL45;0,277328673;0,046608146;0,305994168;0,646161747;0,51817461;
MFSD8;0,123124258;0,046607879;0,399303129;0,469901973;0,638425055;
TOB1;2,868073949;0,046582464;0,175450612;0,316691731;0,751477524;0,867952186
CD164L2;0,041763992;0,046581375;0,451991914;0,338234069;0,735186804;
TRIM30A;0,071627954;0,046417659;0,409870613;0,444286787;0,656835253;
MTRR;0,092403134;0,04629627;0,403721819;0,485044447;0,627644817;
MAP3K15;0,046729435;0,046256579;0,455643448;0,322447667;0,747113578;
SLC19A2;0,057007723;0,046242556;0,434076754;0,397893278;0,690708855;
RDX;3,076319945;0,046198242;0,136369483;0,35931485;0,719359567;0,84697908
HEXDC;0,112585629;0,046158668;0,403106642;0,411126694;0,680979637;
MAP7D1;0,907789923;0,046145147;0,223409399;0,253841075;0,799618339;0,895803268
MEDAG;0,239795822;0,046138615;0,396413652;0,169784572;0,865179561;
GUCY2G;0,014272313;0,046045842;0,988551171;0,194567069;0,845731886;
ZSCAN12;0,025352298;0,045984041;0,534393218;0,236013919;0,813421869;
SLC39A3;0,180999247;0,045934571;0,345408878;0,725687979;0,468030073;
FAM3B;0,030543387;0,045888261;0,531147393;0,244618198;0,806752072;
DNAJC15;0,373547338;0,045764286;0,26248924;0,55409127;0,579516385;0,748120486
UTP4;0,262779641;0,045741843;0,324277413;0,597686675;0,550049018;
PORCN;0,048615601;0,045717623;0,446667659;0,340468738;0,733503561;
ZGPAT;0,037452618;0,045659431;0,487446397;0,280054152;0,779435959;
MCAT;0,041495426;0,045658199;0,447349218;0,289483334;0,772211532;
CNOT11;0,131775176;0,045633719;0,370268829;0,697615305;0,485417807;
CDC14B;0,248394697;0,045589878;0,34818664;0,67937118;0,496902706;
GM14288;0,057959461;0,045584548;0,445166343;0,252609752;0,800569793;
ADGRB2;0,079772631;0,045448718;0,420457778;0,341501591;0,732726007;
RRS1;0,192088834;0,045437659;0,329008767;0,58519764;0,558414831;
FAM189A1;0,051333221;0,045410842;0,432382392;0,375962902;0,706944476;
MMP23;0,160316388;0,045368183;0,349864772;0,544889902;0,585829242;
LTBP2;0,028305472;0,045324663;0,530402237;0,239072378;0,81104946;
VWA8;0,953724803;0,045277342;0,212658575;0,314269706;0,753316205;0,867991087
BUB1;0,12692063;0,045267334;0,426918156;0,375629165;0,707192606;
OTUD1;0,083222323;0,045254983;0,423484307;0,419127905;0,675122658;
A130010J15RIK;0,085050092;0,045232586;0,413626342;0,438890849;0,660740628;
ADAMTS18;0,124687049;0,045186193;0,426635565;0,346192344;0,729198168;
TBC1D31;0,147313751;0,045183236;0,407436019;0,438644118;0,660919424;
BIK;0,023843212;0,045143813;1,228283356;0,198612809;0,842565633;
VAC14;0,158304832;0,04512291;0,36909927;0,49872892;0,617970368;
RNF126;0,268585186;0,045090115;0,285010546;0,612179934;0,540418716;
RPAP1;0,0541302;0,045056638;0,426235572;0,392964939;0,694345377;
PRPF3;0,144216907;0,045012961;0,3586003;0,579777923;0,562064387;
MAP11;0,058969169;0,044995798;0,433276836;0,350789823;0,725746033;
SDHAF4;0,647348055;0,044942491;0,214606402;0,371647469;0,710155341;0,842047142
PRR13;0,412686142;0,04493504;0,25583469;0,479748714;0,631406084;0,785873491
ASH1L;3,362322759;0,044903026;0,1606457;0,27851333;0,780618334;0,884567875
ZFP677;0,051446569;0,044892894;0,45819762;0,295069146;0,767941059;
PRPSAP2;0,322390158;0,044885747;0,292842107;0,600577404;0,548121491;0,723683465
KIFC5B;0,0439407;0,044877081;0,453785486;0,31002751;0,756540037;
PRCP;0,2269006;0,044793051;0,338178484;0,668610044;0,503744264;
CHD5;0,04603377;0,044773462;0,485983128;0,287471815;0,77375108;
KCNB1;0,017203956;0,044757408;0,656999086;0,202304353;0,839678798;
ZFP143;0,128751064;0,044683435;0,380061699;0,496429962;0,61959109;
PRRT1;0,020210862;0,044671172;0,656493068;0,206242942;0,836601146;
KCTD8;0,021669143;0,044642738;1,191988368;0,198612809;0,842565633;
1190005I06RIK;0,085316178;0,04464199;0,409000755;0,504543671;0,613879382;
ZFP648;0,059751161;0,044624131;0,429862812;0,324246518;0,745751406;
ANKRA2;0,267503338;0,044612831;0,28614361;0,654076301;0,513062649;
MECP2;0,907171918;0,044583025;0,220546137;0,291875706;0,770381659;0,878416092
GM20696;0,125610667;0,044560893;0,408156045;0,481407694;0,630226769;
KANSL1;2,87446583;0,044532299;0,167903779;0,3052977;0,760139428;0,871375923
INPP5E;0,057590677;0,044523034;0,426937677;0,363416987;0,716293414;
DLG3;0,143325068;0,044501858;0,369660201;0,626335205;0,531095099;
PIP4K2B;0,237563002;0,044500463;0,310217592;0,712692811;0,476035866;
VPS52;0,205313262;0,044428135;0,335814978;0,701417394;0,48304257;
TNFRSF25;0,034197564;0,044422901;1,002345853;0,159705326;0,873113205;
ZFP93;0,046587852;0,04430987;0,452673186;0,322219259;0,747286596;
ID1;2,870229693;0,044293393;0,220879944;0,272963029;0,784881636;0,887456265
DHRS11;0,061571374;0,044251651;0,45085167;0,322982607;0,746708414;
TMEM150C;0,023029261;0,044242592;0,774032729;0,186775483;0,85183667;
IL17RA;0,211676448;0,044236914;0,358379956;0,446054796;0,655557665;
ACVR1B;0,273935416;0,044236697;0,309648014;0,560446327;0,57517504;
FLII;0,405934103;0,044136629;0,267100437;0,591875311;0,553934087;0,72764613
MTLN;0,649727152;0,044108095;0,208148916;0,362115328;0,717265849;0,845796404
ZBTB48;0,039444503;0,044101242;0,479038488;0,260906328;0,794164745;
UGCG;0,33588078;0,044085851;0,287148767;0,635897454;0,524843262;0,705545628
RAB3D;0,021891706;0,044084724;1,105297068;0,169429212;0,865459048;
HOPX;0,03547781;0,044053564;0,47274083;0,341577882;0,732668585;
PEX3;0,276709411;0,044004581;0,30523276;0,549478657;0,582677008;
LAMB1;0,026929835;0,04397006;0,622692079;0,208458251;0,834871178;
CFH;0,042121612;0,043921059;1,055539829;0,223980463;0,822772505;
RUBCN;0,271823249;0,043904225;0,311100329;0,614031849;0,539194281;
RAD54L;0,050775804;0,043897992;0,466912871;0,344064775;0,730797573;
CYP2R1;0,028859908;0,043891776;0,48664435;0,223454821;0,823181542;
PLAG1;0,072376129;0,043863;0,446834274;0,351485224;0,725224355;
STX5A;1,433988339;0,043835287;0,167935798;0,300756549;0,763600144;0,873756524
NAGPA;0,062281576;0,043798852;0,434923554;0,361573648;0,71767066;
ANK1;0,1176492;0,043772834;0,390923166;0,424945578;0,670876348;
OLFR875;0,033367224;0,043744911;0,926679641;0,149983541;0,880777601;
GM27029;0,023515375;0,043737076;0,531565218;0,247821556;0,804272476;
UTP6;0,259674981;0,043725067;0,315439588;0,684664356;0,493555747;
PHKA1;0,897271598;0,043718464;0,236950222;0,212117388;0,832015455;0,915091954
DOK4;0,05005744;0,043675357;0,497076547;0,297861995;0,765808496;
INPP5D;0,042685646;0,043671696;0,44770718;0,339079351;0,734549953;
AOC2;0,019242807;0,043548704;1,092639239;0,179155129;0,857815895;
FAM76B;0,398676548;0,043526083;0,26244519;0,502532289;0,615293145;0,776081425
C1QTNF7;0,018481267;0,043463134;1,101721463;0,198612809;0,842565633;
ABRA;0,020311293;0,043450807;1,05695188;0,168104648;0,866500953;
FBLN1;0,121214782;0,043428724;0,37818102;0,534832682;0,592765561;
MANBA;0,170585137;0,043398059;0,356355666;0,671231621;0,502072988;
D6ERTD527E;0,078094053;0,043394923;0,443899853;0,207655365;0,835498072;
ADAMTSL2;0,021059883;0,043387802;1,033133031;0,159705326;0,873113205;
ARL2BP;0,893557155;0,043384429;0,192470286;0,313956923;0,753553756;0,867991087
GDPGP1;0,041428301;0,043376999;0,644164175;0,186304016;0,852206358;
RING1;0,293000551;0,043326536;0,276339357;0,668728848;0,503668462;
STXBP1;1,270431578;0,043319138;0,207457134;0,240652743;0,809824268;0,901707896
07-Mar;1,348488767;0,043310522;0,181711553;0,314319032;0,753278745;0,867991087
ZFP287;0,050132402;0,043308462;0,436013181;0,321767745;0,747628651;
CHMP2A;1,278717709;0,043282623;0,182816316;0,307930132;0,758135497;0,87068547
SLC26A1;0,029549889;0,043275168;0,495239914;0,247109664;0,804823355;
KCNQ3;0,315176623;0,043247284;0,388885995;2,204021239;0,02752285;0,095602759
CCDC51;0,028874819;0,043233238;0,496663865;0,300565304;0,763745992;
