nct,n,child,known_growth_drug,n_growth_reported,intervention,condition,first_reported_growth_outcome,title
NCT02160002,366,True,False,2,"Weaning from an incubator at a lower weight (1600 grams), Weaning from an incuba","Infant, Newborn, Infant, Moderate Preterm",Growth Velocity (Weight in Grams/kg/Day) From Start of Weaning From Incubator (Following Random Assignment) to 36 Weeks Postmenstrual Age (PMA),Incubator Weaning of Moderately Preterm Infants
NCT03344458,298,True,True,2,TransCon hGH,"Growth Hormone Deficiency, Pediatric, Endocrine System Diseases, Hormo",Annualized Height Velocity by Visit,A Long-Term Trial Investigating Safety and Efficacy of TransCon hGH in Children With Growth Hormone Deficiency
NCT04980378,291,True,False,2,Simplify Disc,Cervical Degenerative Disc Disorder,Change in Average Disc Height (Superior Index Level),Post Approval Study Protocol for the Two Level Simplify® Cervical Artificial Disc
NCT00108082,287,False,False,2,"carvedilol MR, atenolol, lisinopril","Hypertrophy, Left Ventricular",Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed by Height (LVMIH) as Measured by MRI at Month 12,The CLEVER Study - Coreg And Left Ventricular Mass Regression
NCT02544451,246,True,False,2,"LUM/IVA, LUM/IVA",Cystic Fibrosis,Absolute Change in Height,Rollover Study to Evaluate the Safety and Efficacy of Long-term Treatment With Lumacaftor in Combination With 
NCT02514473,206,True,False,2,"VX-809, Placebo, VX-770",Cystic Fibrosis,Absolute Change From Baseline in Height at Week 24,"A Study to Evaluate the Efficacy and Safety of Lumacaftor in Combination With Ivacaftor in Subjects With CF, H"
NCT03123549,182,False,False,2,Simplify Disc,Cervical Degenerative Disc Disorder,Change in Average Disc Height (Superior Index Level),Investigation of the Two Level Simplify® Cervical Artificial Disc
NCT02158247,176,False,False,2,,"Endotracheal Intubation, Individualized Depth of Endotracheal Intubati",Airway Length vs Height in Male,Determining the Depth of Endotracheal Tube Insertion
NCT02283853,156,True,False,2,"dimethyl fumarate, Interferon β-1a",Relapsing-Remitting Multiple Sclerosis,Part 2: Change From Baseline in Height,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Scler
NCT03305016,146,True,True,2,TransCon hGH,"Growth Hormone Deficiency, Pediatric, Endocrine System Diseases, Hormo",Annualized Height Velocity (AHV) at 26 Weeks of Weekly Lonapegsomatropin Treatment,"A Safety, Tolerability and Efficacy Study of TransCon hGH in Children With Growth Hormone Deficiency"
NCT04089566,145,True,False,2,Nusinersen,"Muscular Atrophy, Spinal",Parts A and C: Change From Baseline in Growth Parameters (Body Height),Study of Nusinersen (BIIB058) in Participants With Spinal Muscular Atrophy
NCT00211237,134,False,False,2,"Balloon Kyphoplasty, Non Surgical Management","Cancer, Spinal Fractures",Index Spinal Deformity Change Measured by Index Vertebral Body Height Ratio,CAFE Study - Cancer Patient Fracture Evaluation
NCT05194345,132,True,False,2,"Autism Eats nutrition intervention, We Can! enhanced usual care",Autism Spectrum Disorder,"Change in Child's Weight-for-length/BMI Percentile (Calculated With Height & Weight), as Measured by Percentile on the CDC Weight-for-length/BMI-for-age Growth Chart.",An Integrated Nutrition Intervention to Promote Healthy Eating Habits for Children With ASD
NCT05721235,123,True,False,2,Serdexmethylphenidate (SDX) and dexmethylphenidate (d-MPH),Attention Deficit/Hyperactivity Disorder,Percentile Change in Body Height,A Safety/Tolerability and PK Study With Azstarys® in Children With ADHD
NCT03197766,121,True,False,2,"BMN 111, Placebo",Achondroplasia,Change From Baseline in Annualized Growth Velocity (AGV) at Week 52,A Study to Evaluate the Efficacy and Safety of BMN 111 in Children With Achondroplasia
NCT02310763,121,True,False,2,"PF-06252616, Placebo",Duchenne Muscular Dystrophy,Height-adjusted Z-score of Lumbar Spine Bone Mineral Density Over Time by Week 49,"A Phase 2 Study to Evaluate the Safety, Efficacy, Pharmacokinetics and Pharmacodynamics of PF-06252616 in Duch"
NCT02372136,120,True,False,2,"Individualized Nutrition, Optimized nutrition","Infant, Premature, Diseases, Infant, Small for Gestational Age",Growth Velocity,Optimizing Individual Nutrition in Preterm Very Low Birth Weight Infants
NCT01990677,108,False,False,2,"25mg Eplerenone, Placebo",Central Serous Chorioretinopathy,Mean Change in Maximal Subretinal Fluid Height Based on Spectral Domain Optical Coherence Tomography (OCT) Measurement.,Eplerenone for the Treatment of Central Serous Chorioretinopathy
NCT02993926,108,True,True,2,"Enantone, GnRH agonist",Central Precocious Puberty,Percentage of Participants With Decease of Ratio of Bone Age to Chronological Age at the End of Enantone Treatment Phase,A Study to Assess the Safety and Efficacy of Enantone (Leuprorelin) in Central Precocious Puberty (CPP) Among 
NCT01420068,106,True,False,2,SPP100,Hypertension,Change in Height Assessments From Baseline (Visit 2 of the Core Study) to Long Term (LT) Visit 18 (Week 104) for the EFS,52-104 Week Off-therapy Second Extension to Study CSPP100A2365
NCT02161575,103,False,False,2,Ranibizumab,Neovascular Age-related Macular Degeneration,Change in Maximum PED Height From Baseline to Day 180,Safety and Efficacy of Switching From Aflibercept to Ranibizumab in Patients With nAMD
NCT05400213,102,False,False,2,"Vallos (DCP), Vallomix (DCF), Vallos-F (DPX), Vallomix-F (DFX)","Dental Extraction, Wound Heal",Change in Buccal Ridge Height (Clinical Measurement),Wound Healing Following Tooth Extraction and Ridge Preservation Using DFDBA Alone in Particulate Fiber Form an
NCT02052752,90,True,False,2,"3% Benzoyl Peroxide, 3% Benzoyl Peroxide Placebo, Neutrogena Rapid Clear®",Skin Diseases,To Assess the Percentage Change in Acne Lesion Swelling (Height) of the Target Lesion for 3% Benzoyl Peroxide (BPO) Gel Test Product Relative to the Vehicle Gel After 4 Once-daily Applications.,A Five Day Clinical Study to Examine the Effects of a Benzoyl Peroxide Treatment on Facial Acne Lesions
NCT01383616,84,False,False,2,"Kyphon® Balloon Kyphoplasty (Kyphon Inc; Sunnydale, CA)",Vertebral Compression Fracture,Anterior Vertebral Body Height Restoration Following Surgery With Kyphoplasty,Unipedicular vs. Bipedicular Kyphoplasty for the Treatment of Osteoporotic Vertebral Fractures
NCT02953314,83,True,False,2,"TEZ, TEZ/IVA, IVA",Cystic Fibrosis,Part B: Absolute Change in Height,"A Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of VX-661/Ivacaftor in Pediatric Subjects W"
NCT02311894,82,True,True,2,Somatropin,Growth Hormone Deficiency,Annualized Growth Velocity at Months 6 and 12 (Change From Baseline),A Post-Marketing Study of the Immunogenicity of Somatropin (Ribosomal Deoxyribo Nucleic Acid [rDNA] Origin) In
NCT06544707,81,False,False,2,0.003% AR-15512 ophthalmic solution,Dry Eye Disease,Mean Change From Baseline in Tear Meniscus Height (TMH) at Minute 3 - Stage 1,A Study Designed to Evaluate Tear Production
NCT00807560,77,True,False,2,"FBT-PO, NEC","Overweight, Obesity",Height,Parent-Based Treatment for Pediatric Overweight
NCT00667446,72,True,True,2,Leuprolide Acetate 3 Month Depot,"Precocious, Leuprolide Acetate, Luteinizing Hormone (LH), Gonadotrophi",Change From Baseline in Growth Rate,Safety Extension Study Of Leuprolide Acetate (Lupron Depot) In The Treatment Of Central Precocious Puberty
NCT05281328,71,False,False,2,"CAM2029, Placebo",Polycystic Liver Disease,Height-adjusted Total Liver Volume (htTLV),A Trial to Assess the Efficacy and Safety of Octreotide Subcutaneous Depot in Patients With PLD
NCT03691779,71,True,False,2,"ELX/TEZ/IVA, IVA",Cystic Fibrosis,Part B: Absolute Change in Height,Evaluation of VX 445/TEZ/IVA in Cystic Fibrosis Subjects 6 Through 11 Years of Age
NCT01786902,70,True,False,2,DA-3002,Idiopathic Short Stature,Annualized Height Velocity(cm/Year) After 26 Weeks,Efficacy and Safety of DA-3002 in Children With Idiopathic Short Stature
NCT04183790,64,True,False,2,"ELX/TEZ/IVA, IVA",Cystic Fibrosis,Absolute Change in Height,Evaluation of Long-term Safety and Efficacy of ELX/TEZ/IVA TC Combination Therapy in Participants With Cystic 
NCT01897233,62,True,False,2,"Lumacaftor, Ivacaftor",Cystic Fibrosis,Part B: Absolute Change From Baseline in Height at Week 24,"Study of Lumacaftor in Combination With Ivacaftor in Subjects 6 Through 11 Years of Age With Cystic Fibrosis, "
NCT02797132,62,True,False,2,LUM/IVA,Cystic Fibrosis,Part B: Absolute Change From Baseline in Stature (Height) at Week 24,Safety and Pharmacokinetic Study of Lumacaftor/Ivacaftor in Subjects Aged 2 Through 5 Years With Cystic Fibros
NCT03283241,62,False,False,2,"Zolidd One ExHex, One ExHex",Partial Edentulism,Change in Marginal Bone Height for All Other Implants,Zolidd One ExHex Dental Implant Compared to Uncoated One ExHex Dental Implant in Subjects With Partial Edentul
NCT02954458,61,True,False,2,"TED, SOC, Syringe, Needle",Short Bowel Syndrome,Change From Baseline in Height Z-score at EOT of Last Cycle During Teduglutide Treatment,Long-term Safety and Efficacy Study of Teduglutide in Pediatric Participants With Short Bowel Syndrome (SBS)
NCT00700739,60,False,False,2,"DISCOVER™ Artificial Cervical Disc, ACDF",Cervical Degenerative Disc Disease,Maintenance of Disc Height Measured Radiographically at 6 Months,Study to Investigate the Performance of Cervical Arthroplasty for the Treatment of Cervical Degenerative Disc 
NCT01368497,60,True,False,2,Entecavir and peginterferon,Hepatitis B,"Growth Measures: Z-scores Weight, Height, and Body Mass Index",Entecavir/Pegylated Interferon in Immune Tolerant Children With Chronic Hepatitis B Virus (HBV) Infection
NCT03196427,59,True,False,2,Vedolizumab,"Ulcerative Colitis, Crohn's Disease",Height Velocity at Week 48 and Every 48 Weeks,Long-term Safety With Vedolizumab Intravenous (IV) in Pediatric Participants With Ulcerative Colitis (UC) or C
NCT02907619,59,True,False,2,PF-06252616,Duchenne Muscular Dystrophy,Bone Age to Chronological Age Ratio,An Open-label Extension Study To Evaluate Safety Of PF-06252616 In Boys With Duchenne Muscular Dystrophy
NCT03125395,57,True,False,2,LUM/IVA,Cystic Fibrosis,Absolute Change From Baseline in Stature (Height),"A Rollover Safety Study of Lumacaftor/Ivacaftor in Subjects Aged 2 Years and Older With Cystic Fibrosis, Homoz"
NCT01598987,56,True,False,2,"Introduction of everolimus with reduced cyclosporine or tacrolimus dose, the ear","Renal Function, Liver Transplant",Growth Development - Height at Baseline and Month 12,"Efficacy, Safety and Tolerability of Everolimus in Combination With Reduced Exposure Cyclosporine or Tacrolimu"
NCT02527200,56,True,False,2,"liraglutide, placebo","Metabolism and Nutrition Disorder, Obesity",Height Velocity at Week 16,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome
NCT00660010,55,True,True,2,Lupron (leuprolide acetate),"Puberty, Precocious",Mean Ratio of Bone Age to Chronological Age,Study of Lupron Depot In The Treatment of Central Precocious Puberty
NCT03034772,52,False,False,2,"Dorzolamide-timolol, Artificial tears","Neovascular Age-related Macular Degeneration, Wet Macular Degeneration",Change in Mean Maximum Subretinal Fluid (SRF) Height,Dorzolamide-timolol in Combination With Anti-vascular Endothelial Growth Factor Injections for Wet Age-related
NCT00921557,52,True,False,2,"Alendronate, Placebo, Calcium carbonate/vitamin D",HIV Infection,"Effect of Other Known Bone Mineral Determinants (Age, Gender, Race/Ethnicity, Steroid Use, Depo-Provera, Tenofovir, Pubertal Stage, Bone Age, Vitamin D Status) and Inflammatory Cytokine Levels on Changes in Lumbar Spine BMD",Safety and Effectiveness of Alendronate for Bone Mineral Density in HIV-infected Children and Adolescents
NCT04979988,51,False,False,2,Lortlatinib,ALK-positive Non-small-cell Lung Cancer,Height at Start of Alectinib Treatment,Study to Evaluate Clinical Real World Outcomes of Lorlatinib After Alectinib in ALK-Positive NSCLC Japanese Pa
NCT02498678,50,True,False,2,Tetanus,Muscle Relaxation,T1 Height,Effect of Tetanus on Neuromuscular Junction Monitor Performance in Pediatric Patients
NCT02500316,48,True,True,2,MOD-4023,Growth Hormone Deficiency (GHD),Annualized Height Velocity,Long Term Follow up Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children
NCT02029521,47,True,False,2,"Oral reduced l-glutathione, Placebo",Cystic Fibrosis,Height Percentile,Supplementation of Oral Reduced Glutathione in Pediatric Cystic Fibrosis Patients
NCT03695237,45,True,True,2,Leuprolide Acetate (LA),Central Precocious Puberty (CPP),Parts 1 and 2: Change From Baseline in Incremental Growth Rate,A Study to Evaluate Leuprolide Acetate 45 mg 6-Month Formulation in Children With Central Precocious Puberty (
NCT02074358,43,False,False,2,"Apixaban, Cofact (4-Factor PCC), Beriplex P/N (4-Factor PCC), Placebo (Saline so",Anticoagulation,"PD Parameter: Adjusted Mean Change in TGA Peak Height From Day 4 Pre-Infusion (PCC or Placebo) Baseline at Day 4, 30 Minutes Post Infusion of PCC or Placebo",A Study to Assess the Effects of 2 Prothrombin Complex Concentrates on the Pharmacodynamics of Apixaban in Hea
NCT01277510,43,True,False,2,"cinacalcet capsule, placebo, Standard of Care","Chronic Kidney Disease, Hyperparathyroidism, Hyperparathyroidism, Seco",Growth Velocity From Baseline to End of Double-blind Phase,Pediatric Chronic Kidney Disease Safety and Efficacy
NCT03096873,40,True,False,2,Combined Exercise Training,Obesity,Height in Meters,Combined Resistance and Aerobic Exercise Training on Obesity in Adolescent Girls
NCT05020366,40,True,False,2,"Promoting Health through Parent Empowerment and the Activation of Routines, Enha",Down Syndrome,Change in Child Height From Baseline to 6 Months,Promoting Health Through Parent Empowerment and the Activation of Routines (PrO-PEAR)
NCT03561597,40,True,False,2,Mobile health intervention,Adolescent Obesity,Change in Waist to Height Ratio From Baseline to 6 Months,Mobile Health Intervention to Identify Early Responders to Treatment in Adolescent Obesity
NCT00952380,38,True,False,2,dalteparin,Venous Thromboembolism,Absolute Values of Height of Participants,Fragmin for the Treatment of Acute VTE in Pediatric Cancer Patients
NCT01946412,33,True,False,2,Ivacaftor,Cystic Fibrosis,"Absolute Change From Baseline of Parent Study in Stature at Week 12, 24, 36, 48, 60, 72 and 84",Roll-Over Study of Ivacaftor in Cystic Fibrosis Pediatric Subjects With a CF Transmembrane Conductance Regulat
NCT05989815,30,False,False,2,"Muscle damage protocol training, Photobiomodulation therapy (PBMT)","Sports Performance, Injury Prevention, Muscle Damage, Musculoskeletal ",Squat Jump (SJ) Height,Effect of Whole-body Photobiomodulation on Muscular Performance Enhancement.
NCT02949362,29,True,False,2,"Teduglutide, SOC",Short Bowel Syndrome,Change From Baseline in Height for Age Z-score up to Week 168 of Retrospective Observation Period,Long-term Study of Teduglutide in Pediatric Subjects With Short Bowel Syndrome Who Completed the TED-C13-003 S
NCT00131508,27,True,False,2,"Glutamine, Placebo","Anemia, Sickle Cell",Change in Height Z-score From Baseline to 12 Months,Trial of Oral Glutamine in Patients With Sickle Cell Anemia
NCT03779334,26,True,False,2,Risdiplam,"Muscular Atrophy, Spinal","Number and Percentage of Participants Within 3rd Percentile of Normal Range for Weight-for-Age, Length/Height-for-Age and Weight-for-Length/Height",A Study of Risdiplam in Infants With Genetically Diagnosed and Presymptomatic Spinal Muscular Atrophy
NCT02004704,25,True,False,2,GZ402665,Sphingomyelin Lipidosis,Participants From Pediatric Study DFI13803: Change From Baseline in Difference Between Bone Age and Actual Age of Participants at Month 72,A Long-Term Study of Olipudase Alfa in Patients With Acid Sphingomyelinase Deficiency
NCT04075266,23,True,False,2,Ocrelizumab,Multiple Sclerosis,Developmental Milestones - Growth Velocity: Change in Height,A Study of Ocrelizumab in Children and Adolescents With Relapsing-Remitting Multiple Sclerosis
NCT03288103,22,True,True,2,Norditropin,Short Stature,Height Standard Deviation Score,Growth Hormone Treatment in Patients With Aggrecan (ACAN) Deficiency
NCT01550471,22,True,False,2,"Alvesco/Omnaris, QVAR/Beconase, Placebo/Placebo, Alvesco/Omnaris, Placebo/Placeb","Asthma, Allergic Rhinitis",The Effect of Omnaris Nasal Spray & Alvesco Inhalation Aerosol vs Beconase AQ Nasal Spray & QVAR Inhalation Aerosol on Short-term Lower Leg Growth Velocity as Measured by Knemometry in Pediatric Subjects w/ Mild Asthma & Allergic Rhinitis.,Sunovion Growth Study Pediatric Subjects With Mild Asthma & Allergic Rhinitis
NCT03820258,21,True,False,2,SOF/VEL/VOX,Hepatitis C Virus Infection,Change From Baseline in Height Percentiles as a Measurement of Growth and Development,"Study to Investigate Pharmacokinetics, Safety and Efficacy of Sofosbuvir/Velpatasvir/Voxilaprevir (SOF/VEL/VOX"
NCT02292654,20,True,False,2,Olipudase alfa,Sphingomyelin Lipidosis,Change From Baseline in Height Z-Scores at Week 52,"Safety, Tolerability, PK, and Efficacy Evaluation of Repeat Ascending Doses of Olipudase Alfa in Pediatric Pat"
NCT02226198,20,True,False,2,"Rosuvastatin 20mg, Placebo",Homozygous Familial Hypercholesterolemia (HoFH),Height,A Study to Evaluate the Efficacy and Safety of Rosuvastatin in Children and Adolescents With Homozygous Famili
NCT03019575,17,True,False,2,"Corifollitropin alfa, hCG",Hypogonadotropic Hypogonadism,Growth Velocity at Week 36,Efficacy and Safety of Corifollitropin Alfa (MK-8962) in Combination With Human Chorionic Gonadotropin (hCG) i
NCT00206375,16,True,True,2,"Growth hormone, Growth hormone treatment and puberty",Hypothyroidism,Final Height,Growth Hormone and GnRH Agonist in Adolescents With Acquired Hypothyroidism
NCT02571972,14,False,False,2,Dorzolamide-timolol,"Wet Macular Degeneration, Age-related Macular Degeneration, Diabetic M",Maximum Subretinal Fluid Height,"Dorzolamide-timolol Drops With Injections to Treat AMD, RVO or DME."
NCT04064346,12,False,False,2,"Lixivaptan, Placebo","Autosomal Dominant Polycystic Kidney, ADPKD",Height-adjusted Total Kidney Volume (htTKV) - Part 1,Efficacy and Safety of Lixivaptan in the Treatment of Autosomal Dominant Polycystic Kidney Disease
NCT04929678,10,True,False,2,Braive™ Growth Modulation System (Braive™ GMS),"Juvenile Idiopathic Scoliosis, Adolescent Idiopathic Scoliosis",Change From Baseline in Total Vertical Thoracic Spine Height (T1-T12) at All Available Postoperative Timepoints.,Study of the Braive Growth Modulation System for Progressive Pediatric Scoliosis
NCT02434497,9,True,False,2,Rosuvastatin 20mg,Homozygous Familial Hypercholesterolemia (HoFH),"Safety and Tolerability in Terms of Growth, Height",A Study to Evaluate the Safety of Rosuvastatin in Children and Adolescents With Homozygous Familial Hyperchole
NCT02602223,9,False,False,2,"Placing Amnion chorion membrane over grafted site, Placing d-PTFE membrane over ","Alveolar Bone Loss, Pathological Conditions, Anatomical","Amount of Preservation of Alveolar Ridge Dimensions Following Ridge Preservation Procedures i.e., Horizontal Ridge Width Height Change in Millimeters as Assessed Through Analysis of CBCT Scans.",Comparison of Amnion Chorion Membrane vs. Dense Polytetrafluoroethylene Membrane in Ridge Preservation Procedu
NCT02636270,7,True,True,2,Increlex,Short Stature,Height Velocity,IGF-1 Treatment for Individuals With Short Stature Due to PAPP-A2 Deficiency
NCT01801449,6,True,False,2,Rilonacept,DIRA,Height,Rilonacept for Deficiency of the Interleukin-1 Receptor Antagonist (DIRA)
NCT02824913,1,False,False,2,"P-321 Ophthalmic Solution, P-321 Ophthalmic Solution placebo",Dry Eye Disease,Lower Tear Meniscus Height as Measured by the Keratograph 5M,Study of the Pharmacodynamic Activity of P-321 Ophthalmic Solution Compared to Placebo in Subjects With Dry Ey
NCT05382637,1,True,True,2,Somatropin,Growth Disorders,Growth Velocity,Growth Hormone in a Patient With a Dominant-Negative GHR Mutation
NCT03676764,77664,True,False,1,"Azithromycin, Placebos",Childhood Mortality,Height-for-age Z-score in Individually Randomized Children at Healthy Child Visits,Community Health Azithromycin Trial in Burkina Faso
NCT00069576,7381,False,False,1,"nutritional counseling, self blood glucose monitoring","Diabetes, Gestational","Number of Children at 5-10 Year Follow up With Hypertension ≥ 95th Percentile for Age, Sex and Height",Gestational Diabetes Mellitus Trial (GDM)
NCT00324350,7287,False,False,1,"hypoglycemic agents, hydroxymethylglutaryl-CoA Reductase inhibitors, hypertensiv","Atherosclerosis, Cardiovascular Diseases, Hypercholesterolemia, Hypert",Number of Participants With > 2 cm of Height Loss,Intensive Glycemic Control and Skeletal Health Study
NCT02089997,3304,True,False,1,Sodium Risedronate,Osteoporosis,Change From Baseline in Height,Special Drug Use Surveillance on Long-term Use of Sodium Risedronate Tablets (Benet 75 mg Tablets) (12-month T
NCT06291831,3011,False,False,1,"nirmatrelvir, ritonavir, Controls",COVID-19,Height,A Study to Learn About the Use of Paxlovid in Patients With COVID-19 in the Kingdom of Bahrain.
NCT01790048,2259,True,False,1,"Whey permeate RUSF, Soy Protein RUSF",Malnutrition,Height,Whey Permeate Study
NCT02583256,1601,True,False,1,"Adjuvanted QIV (aQIV), Non-adjuvanted QIV",Influenza,Safety Endpoint: Percentage of Subjects With Diagnosis of Failure to Thrive or Short Stature,"Clinical Study to Evaluate Safety, Immunogenicity of Investigational Flu Vaccine Compared to an Approved Flu V"
NCT01709110,1366,False,False,1,"Teriparatide, Risedronate, Placebo, Calcium, Vitamin D",Postmenopausal Osteoporosis,Change From Baseline to 24 Months Endpoint in Height,VERtebral Fracture Treatment Comparisons in Osteoporotic Women
NCT00439647,1199,False,False,1,"Zoledronic acid 5 mg iv, Placebo",Male Osteoporosis,Mean Change in Height From Baseline,Efficacy in Reducing Fractures and Safety of Zoledronic Acid in Men With Osteoporosis
NCT03548558,1152,True,False,1,"Group sessions, Group+Home sessions, Booster sessions, Fathers invited",Early Child Development,Child Height,Testing Means to Scale Early Childhood Development Interventions in Rural Kenya
NCT00000575,1041,True,False,1,"Placebo, Nedocromil, Budesonide","Asthma, Lung Diseases","Change in Height From Baseline to End of Treatment, 4-6 Years Later","Childhood Asthma Management Program (CAMP) Phases I (Trial), II (CAMPCS), III (CAMPCS/2), and IV (CAMPCS/3)"
NCT01060059,888,False,False,1,"exenatide, basal insulin",Type 2 Diabetes Mellitus,Factor of Greater Height Associated With Treatment Choice at Baseline,Exenatide and Basal Insulins Use in the Real Setting: an Observational Study in Patients With Type 2 Diabetes
NCT03517111,844,True,False,1,"Nutrition/substance use prevention, Substance use prevention only, Academic succ","Diet Modification, Substance Use Disorders, Diabetes Mellitus Risk, Ca",Height,The Impact of a Parenting Intervention on Latino Youth Health Behaviors
NCT02670915,834,True,False,1,"Faster-acting insulin aspart, insulin aspart, insulin degludec","Diabetes, Diabetes Mellitus, Type 1",Change in Height,Efficacy and Safety of Faster-acting Insulin Aspart Compared to NovoRapid® Both in Combination With Insulin De
NCT02590562,808,False,False,1,Routine clinical practice,Rheumatoid Arthritis,Height,An Observational Study to Describe in Routine Clinical Practice the Treatment Patterns of Usage of Biological 
NCT01544582,713,False,False,1,,Hepatitis C Chronic,"Baseline Characteristics of Participants Initiating Boceprevir Plus PR Treatment, Telaprevir Plus PR Treatment, or PR Treatment Alone: Height",Drug Utilization of Boceprevir and Clinical Management of Health Outcomes of Interest in Chronic Hepatitis C P
NCT00488514,656,True,False,1,Combination Tablet of Treximet (sumatriptan/naproxen sodium),Migraine Disorders,Mean Height for All Study Participants at the Indicated Time Points,Long-Term Safety of Treximet (Sumatriptan/Naproxen Sodium) for Migraine in Adolescents
NCT01745822,654,False,False,1,"tenofovir disoproxil fumarate, placebo","Hepatitis B Chronic Infection, Pregnancy","Weight, Height and Head Circumference for Age",Maternal Antiviral Prophylaxis to Prevent Perinatal Transmission of Hepatitis B Virus in Thailand
NCT02255409,607,True,False,1,"Adjuvanted Quadrivalent Subunit Influenza Virus Vaccine (aQIV), non-adjuvanted Q",Influenza,Safety Endpoint: Number of Subjects With a Diagnosis of Failure to Thrive or Short Stature,"Clinical Study to Evaluate Safety, Immunogenicity of Investigational Flu Vaccine Compared to an Approved Flu V"
NCT00404820,604,False,False,1,"Zoledronic acid 5 mg solution, Alendronate 70 mg tablets, Calcium/Vitamin D",Osteoporosis,Change in Body Height From Baseline to Month 12,Safety/Efficacy of Zoledronic Acid and Alendronate on Bone Metabolism in Postmenopausal Women With Osteoporosi
NCT02272842,600,True,False,1,Vitamin B12,"Development, Vitamin Deficiency, Malnutrition",Growth Velocity Over the First Six Months of Supplementation,"Vitamin B12, Neurodevelopment and Growth in Nepal"
NCT02106442,579,False,False,1,Sodium risedronate,Osteoporosis,Change From Baseline in Height at Final Assessment (up to Month 36),36-month Special Drug Use Surveillance on Frequency of Bone Fractures With Sodium Risedronate 75 mg Tablets
NCT00471237,564,False,False,1,"Ronacaleret, Teriparatide, Alendronate",Osteoporosis,Mean Change From Baseline in Height,A Phase II Study Evaluating SB-751689 in Post-Menopausal Women With Osteoporosis.
NCT02980276,535,False,False,1,"Metformin Hydrochloride, Placebo",Gestational Diabetes,Neonatal Height,RCT Metformin for Reduction of Gestational Diabetes Mellitus Effects
NCT02177942,528,True,False,1,"Test beverage powder (High Proteins and added micronutrients), Control beverage ",Cognition,Change From Baseline in Height at 6 Months,A Clinical Trial to Study the Impact of a Nutritional Beverage on Tests of Memory in Healthy Preschool Age Chi
NCT03952559,516,True,False,1,"Baricitinib, Placebo, Topical corticosteroid",Atopic Dermatitis,"Height, Weight and Body Mass Index (BMI) Growth Rate",A Study of Baricitinib (LY3009104) in Children and Adolescents With Atopic Dermatitis
NCT03676751,500,True,False,1,"Azithromycin, Placebo","Child Growth, Diversity of Microbiome, Child Mortality, Resistance Bac",Change in Height Over Time,MORDOR II Burkina Faso: Longitudinal Trial
NCT00432159,500,False,False,1,"Cervical TDR, ACDF with plate",Cervical Degenerative Disc Disease,Average Radiographic Disc Height (mm) - Change From Post-op,Comparison of DISCOVER™ Artificial Cervical Disc and ACDF for Treatment of Cervical DDD (IDE Study)
NCT00570492,474,True,False,1,"Fluticasone furoate nasal spray, Placebo nasal spray","Rhinitis, Allergic, Perennial",Change From Baseline in the Growth Velocity of Pre-pubescent Pediatric Participants to the End of the 52-week Double-blind (DB) Treatment Period,Phase 4 Fluticasone Furoate Nasal Spray (VERAMYST) Long Term Pediatric Growth Study.
NCT05932992,400,True,False,1,Mother education on how to perform MUAC assessment,Severe Acute Malnutrition,Height-for-age Z-score (HAZ),Mother Screening for Relapse Using Mid-upper Arm Circumference Among Children Recovered From Severe Acute Maln
NCT00637156,397,False,False,1,"PRESTIGE LP device at two adjacent levels, Bi-level fusion with ATLANTIS Cervica","Cervical Degenerative Disc Disease, Radiculopathy, Myelopathy",Rate of Disc Height Success,Study of the Safety and Effectiveness of the Artificial Cervical Disc - Low Profile Device at Two Adjacent Lev
NCT04085172,396,True,False,1,"Guanfacine hydrochloride (TAK-503), Atomoxetine hydrochloride, Placebo",Attention Deficit Hyperactivity Disorder,Parts A and B: Change From Baseline in Height,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivity Disorder (ADHD)
NCT02617563,361,False,False,1,Minimally invasive lumbar fusion,Intervertebral Disc Degeneration,To Observe and Document the Patient Profile When Choosing a Particular Minimally Invasive Fusion Procedure - Height,5-Year Global Study on MAST™ Minimally Invasive Fusion Procedures to Treat Degenerative Lumbar Spine (MASTERS-
NCT01514279,360,True,False,1,"HealthyCHANGE, SystemCHANGE","Overweight, Obese",Body Composition- Waist-to-height Ratio,Ideas Moving Parents and Adolescents to Change Together (IMPACT)
NCT01871519,354,False,False,1,Balloon kyphoplasty,"Compression Fracture of Vertebral Body, Osteoporosis, Cancer","Vertebral Body Height Restoration (Absolute Height Restored as Percent, AHRP)",Evaluation of Outcomes for Quality of Life and Activities of Daily Living for BKP in the Treatment of VCFs
NCT05163314,352,True,False,1,Soticlestat,"Dravet Syndrome (DS), Lennox Gastaut Syndrome (LGS)",Change From Baseline in Height for All Age Groups,A Study of Soticlestat as an Add-on Therapy in Children and Adults With Dravet Syndrome or Lennox-Gastaut Synd
NCT00997984,340,True,False,1,"extended-release guanfacine hydrochloride (SPD503), placebo, extended-release gu",Attention-Deficit/Hyperactivity Disorder,Change From Baseline in Height at Week 8 - LOCF,Tolerability and Efficacy of AM and PM Once Daily Dosing With Extended-release Guanfacine Hydrochloride in Chi
