nct,cond,title,ivnames,mode,u,outcome,cat,growthdx,growthdrug,restore,arm,av,asd,an,ref,rv,rn,diff,se,z
NCT04779307,"Colitis, Ulcerative",A Study of Vedolizumab in Children and Teenagers With Moderate to Severe Ulcerative Colitis (UC),Vedolizumab,active-comparator,Z,Change From Baseline in Linear Growth Z-score,Change at Week 22,False,False,True,Participants With All Weight Groups Combined: Vedolizumab High Dose,0.297,0.3682,46,Participants With All Weight Groups Combined: Vedolizumab Low Dose,0.29,47,0.007,,
NCT04779307,"Colitis, Ulcerative",A Study of Vedolizumab in Children and Teenagers With Moderate to Severe Ulcerative Colitis (UC),Vedolizumab,active-comparator,Z,Change From Baseline in Linear Growth Z-score,Change at Week 30,False,False,True,Participants With All Weight Groups Combined: Vedolizumab High Dose,0.407,0.3755,46,Participants With All Weight Groups Combined: Vedolizumab Low Dose,0.389,47,0.018,,
NCT04779307,"Colitis, Ulcerative",A Study of Vedolizumab in Children and Teenagers With Moderate to Severe Ulcerative Colitis (UC),Vedolizumab,active-comparator,Z,Change From Baseline in Linear Growth Z-score,Change at Week 38,False,False,True,Participants With All Weight Groups Combined: Vedolizumab Low Dose,0.537,0.4534,47,Participants With All Weight Groups Combined: Vedolizumab High Dose,0.49,46,0.047,,
NCT04779307,"Colitis, Ulcerative",A Study of Vedolizumab in Children and Teenagers With Moderate to Severe Ulcerative Colitis (UC),Vedolizumab,active-comparator,Z,Change From Baseline in Linear Growth Z-score,Change at Week 46,False,False,True,Participants With All Weight Groups Combined: Vedolizumab Low Dose,0.629,0.5383,47,Participants With All Weight Groups Combined: Vedolizumab High Dose,0.602,46,0.027,,
NCT04779307,"Colitis, Ulcerative",A Study of Vedolizumab in Children and Teenagers With Moderate to Severe Ulcerative Colitis (UC),Vedolizumab,active-comparator,Z,Change From Baseline in Linear Growth Z-score,Change at Week 54,False,False,True,Participants With All Weight Groups Combined: Vedolizumab Low Dose,0.754,0.6341,47,Participants With All Weight Groups Combined: Vedolizumab High Dose,0.616,46,0.138,,
NCT03659916,Progressive Familial Intrahepatic Cholestasis,Long Term Safety & Efficacy Study Evaluating The Effect of A4250 in Children With PFIC,A4250 (odevixibat),placebo,Z,Change From Baseline in Height Z-Scores,Week 24,False,False,False,Cohort 1: Odevixibat/Odevixibat,0.341,,28,Cohort 1: Placebo/Odevixibat,0.181,15,0.16,,
NCT03659916,Progressive Familial Intrahepatic Cholestasis,Long Term Safety & Efficacy Study Evaluating The Effect of A4250 in Children With PFIC,A4250 (odevixibat),placebo,Z,Change From Baseline in Height Z-Scores,Week 24,False,False,False,Cohort 2: Odevixibat,0.089,,46,Cohort 1: Placebo/Odevixibat,0.181,15,-0.092,,
NCT03659916,Progressive Familial Intrahepatic Cholestasis,Long Term Safety & Efficacy Study Evaluating The Effect of A4250 in Children With PFIC,A4250 (odevixibat),placebo,Z,Change From Baseline in Height Z-Scores,Week 48,False,False,False,Cohort 1: Odevixibat/Odevixibat,0.662,,28,Cohort 1: Placebo/Odevixibat,0.485,15,0.177,,
NCT03659916,Progressive Familial Intrahepatic Cholestasis,Long Term Safety & Efficacy Study Evaluating The Effect of A4250 in Children With PFIC,A4250 (odevixibat),placebo,Z,Change From Baseline in Height Z-Scores,Week 48,False,False,False,Cohort 2: Odevixibat,0.095,,46,Cohort 1: Placebo/Odevixibat,0.485,15,-0.39,,
NCT03659916,Progressive Familial Intrahepatic Cholestasis,Long Term Safety & Efficacy Study Evaluating The Effect of A4250 in Children With PFIC,A4250 (odevixibat),placebo,Z,Change From Baseline in Height Z-Scores,Average of Weeks 70-72,False,False,False,Cohort 1: Odevixibat/Odevixibat,0.543,,28,Cohort 1: Placebo/Odevixibat,0.556,15,-0.013,,
NCT03659916,Progressive Familial Intrahepatic Cholestasis,Long Term Safety & Efficacy Study Evaluating The Effect of A4250 in Children With PFIC,A4250 (odevixibat),placebo,Z,Change From Baseline in Height Z-Scores,Average of Weeks 70-72,False,False,False,Cohort 2: Odevixibat,0.224,,46,Cohort 1: Placebo/Odevixibat,0.556,15,-0.332,,
NCT00000575,Asthma ; Lung Diseases,"Childhood Asthma Management Program (CAMP) Phases I (Trial), II (CAMPCS), III (CAMPCS/2), and IV (CAMPCS/3)",Placebo ; Nedocromil ; Budesonide,placebo,cm,"Change in Height From Baseline to End of Treatment, 4-6 Years Later",,False,False,True,1 Budesonide,22.7,5.4,311,3 Placebo,23.8,418,-1.1,,
NCT00000575,Asthma ; Lung Diseases,"Childhood Asthma Management Program (CAMP) Phases I (Trial), II (CAMPCS), III (CAMPCS/2), and IV (CAMPCS/3)",Placebo ; Nedocromil ; Budesonide,placebo,cm,"Change in Height From Baseline to End of Treatment, 4-6 Years Later",,False,False,True,2 Nedocromil,23.7,5.4,312,3 Placebo,23.8,418,-0.1,,
NCT03198078,Schizophrenia,Trial to Evaluate the Short-term Safety & Efficacy of Brexpiprazole Monotherapy in the Treatment of Adolescents With Schizophrenia,Brexpiprazole (OPC-34712) ; Aripiprazole ; Placebo,placebo,cm,Mean Change From Baseline in Height,,False,False,False,Brexpiprazole,0.2,1.1,108,Placebo,0.3,96,-0.1,,
NCT03198078,Schizophrenia,Trial to Evaluate the Short-term Safety & Efficacy of Brexpiprazole Monotherapy in the Treatment of Adolescents With Schizophrenia,Brexpiprazole (OPC-34712) ; Aripiprazole ; Placebo,placebo,cm,Mean Change From Baseline in Height,,False,False,False,Aripiprazole,0.2,2.9,99,Placebo,0.3,96,-0.1,,
NCT04596631,"Diabetes Mellitus, Type 2",A Research Study to Compare a New Medicine Oral Semaglutide to a Dummy Medicine in Children and Teenagers With Type 2 Diabetes,Oral semaglutide ; Placebo (semaglutide),placebo,cm/yr,Height Velocity at Week 26 and Week 52,Week 26,False,False,False,Oral Semaglutide,1.5,2.2,65,Placebo,1.8,61,-0.3,,
NCT04596631,"Diabetes Mellitus, Type 2",A Research Study to Compare a New Medicine Oral Semaglutide to a Dummy Medicine in Children and Teenagers With Type 2 Diabetes,Oral semaglutide ; Placebo (semaglutide),placebo,cm/yr,Height Velocity at Week 26 and Week 52,Week 52,False,False,False,Oral Semaglutide,1.0,1.8,65,Placebo,0.8,61,0.2,,
NCT03197766,Achondroplasia,A Study to Evaluate the Efficacy and Safety of BMN 111 in Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm/yr,Change From Baseline in Annualized Growth Velocity (AGV) at Week 52,,True,True,False,BMN 111 - 15 μg/kg,1.71,,60,Placebo,0.13,61,1.58,,
NCT03197766,Achondroplasia,A Study to Evaluate the Efficacy and Safety of BMN 111 in Children With Achondroplasia,BMN 111 ; Placebo,placebo,Z,Change From Baseline in Height Z-score at Week 52,,True,True,False,BMN 111 - 15 μg/kg,0.27,,60,Placebo,-0.01,61,0.28,,
NCT01342952,"Hypertension, Pulmonary",Long-term Ambrisentan Extension Study for Pediatric Patients Who Participated in AMB112529,Ambrisentan,active-comparator,cm,Change From Baseline in Vital Sign Parameter: Height,,False,False,False,Ambrisentan 10 mg (Safety),12.1,17.55,10,Ambrisentan 5 mg (Safety),9.9,10,2.2,,
NCT00125164,Growth Disorders ; Insulin-Like Growth Factor-1 Deficiency,Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Growth Factor-1 (IGF-1) Deficiency,"rhIGF-1 (mecasermin, Tercica, Inc.)",placebo,cm/yr,Height Velocity During the First Year - Intent to Treat (ITT)Population,,True,True,True,80 μg/kg BID (Twice Daily Dosing),6.9,1.0,42,Untreated,5.2,22,1.7,,
NCT00125164,Growth Disorders ; Insulin-Like Growth Factor-1 Deficiency,Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Growth Factor-1 (IGF-1) Deficiency,"rhIGF-1 (mecasermin, Tercica, Inc.)",placebo,cm/yr,Height Velocity During the First Year - Intent to Treat (ITT)Population,,True,True,True,120 μg/kg BID (Twice Daily Dosing),7.7,1.5,49,Untreated,5.2,22,2.5,,
NCT00125164,Growth Disorders ; Insulin-Like Growth Factor-1 Deficiency,Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Growth Factor-1 (IGF-1) Deficiency,"rhIGF-1 (mecasermin, Tercica, Inc.)",placebo,cm/yr,Height Velocity During the First Year for Subjects - Completers,,True,True,True,80 μg/kg BID (Twice Daily Dosing),7.0,1.0,39,Untreated,5.2,21,1.8,,
NCT00125164,Growth Disorders ; Insulin-Like Growth Factor-1 Deficiency,Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Growth Factor-1 (IGF-1) Deficiency,"rhIGF-1 (mecasermin, Tercica, Inc.)",placebo,cm/yr,Height Velocity During the First Year for Subjects - Completers,,True,True,True,120 μg/kg BID (Twice Daily Dosing),7.9,1.4,43,Untreated,5.2,21,2.7,,
NCT03625466,Cystic Fibrosis,"A Study to Explore the Impact of Lumacaftor/Ivacaftor on Disease Progression in Subjects Aged 2 Through 5 Years With Cystic Fibrosis, Homozygous for F508del",LUM/IVA ; LUM/IVA ; Placebo,placebo,Z,Part 1: Absolute Change in Stature-for-age Z-score at Week 48,,False,False,True,Part 1: LUM/IVA,0.09,,35,Part 1: Placebo,0.1,16,-0.01,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,Z,Change From Baseline in Height Z-score at Week 52.,,True,True,False,Randomized Vosoritide,-0.06,,32,Randomized Placebo,-0.31,32,0.25,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,Z,Change From Baseline in Height Z-score at Week 52.,,True,True,False,All Vosoritide,0.01,,43,Randomized Placebo,-0.31,32,0.32,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,Z,Change From Baseline in Height Z-score at Week 52.,,True,True,False,Placebo,-0.3,,32,Randomized Placebo,-0.31,32,0.01,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,Change From Baseline in Height at Week 52,,True,True,False,Randomized Vosoritide,8.15,,32,Randomized Placebo,7.38,32,0.77,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,Change From Baseline in Height at Week 52,,True,True,False,All Vosoritide,8.41,,43,Randomized Placebo,7.38,32,1.03,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,Change From Baseline in Height at Week 52,,True,True,False,Placebo,7.45,,32,Randomized Placebo,7.38,32,0.07,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm/yr,Change From Baseline in Annualized Growth Velocity (AGV) at Week 52,,True,True,False,Randomized Vosoritide,-2.17,,32,Randomized Placebo,-2.95,32,0.78,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm/yr,Change From Baseline in Annualized Growth Velocity (AGV) at Week 52,,True,True,False,All Vosoritide,-2.41,,43,Randomized Placebo,-2.95,32,0.54,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm/yr,Change From Baseline in Annualized Growth Velocity (AGV) at Week 52,,True,True,False,Placebo,-3.32,,32,Randomized Placebo,-2.95,32,-0.37,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Upper body length,True,True,False,Cohort 1: Vosoritide,3.54,1.81,19,Cohort 1: Placebo,3.04,16,0.5,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Upper body length,True,True,False,Cohort 2: Vosoritide,5.2,1.5,12,Cohort 1: Placebo,3.04,16,2.16,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Upper body length,True,True,False,Cohort 3: Vosoritide,6.75,0.86,11,Cohort 1: Placebo,3.04,16,3.71,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Head Circumference,True,True,False,Cohort 1: Vosoritide,0.74,0.49,19,Cohort 1: Placebo,0.68,16,0.06,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Head Circumference,True,True,False,Cohort 2: Vosoritide,3.1,1.45,12,Cohort 1: Placebo,0.68,16,2.42,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Head Circumference,True,True,False,Cohort 3: Vosoritide,6.29,0.81,11,Cohort 1: Placebo,0.68,16,5.61,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Arm Span,True,True,False,Cohort 1: Vosoritide,5.82,3.65,19,Cohort 1: Placebo,4.86,16,0.96,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Arm Span,True,True,False,Cohort 2: Vosoritide,7.22,1.45,12,Cohort 1: Placebo,4.86,16,2.36,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Arm Span,True,True,False,Cohort 3: Vosoritide,8.99,4.77,11,Cohort 1: Placebo,4.86,16,4.13,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Upper Arm Length,True,True,False,Cohort 1: Vosoritide,0.77,0.96,19,Cohort 1: Placebo,1.02,16,-0.25,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Upper Arm Length,True,True,False,Cohort 2: Vosoritide,1.44,1.26,12,Cohort 1: Placebo,1.02,16,0.42,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Upper Arm Length,True,True,False,Cohort 3: Vosoritide,1.44,1.33,11,Cohort 1: Placebo,1.02,16,0.42,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Lower Arm (Forearm) Length,True,True,False,Cohort 1: Vosoritide,0.79,0.9,19,Cohort 1: Placebo,0.49,16,0.3,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Lower Arm (Forearm) Length,True,True,False,Cohort 2: Vosoritide,1.57,0.98,12,Cohort 1: Placebo,0.49,16,1.08,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Lower Arm (Forearm) Length,True,True,False,Cohort 3: Vosoritide,1.49,0.79,11,Cohort 1: Placebo,0.49,16,1.0,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Lower Body Length,True,True,False,Cohort 1: Vosoritide,2.89,1.99,19,Cohort 1: Placebo,2.41,16,0.48,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Lower Body Length,True,True,False,Cohort 2: Vosoritide,3.79,1.56,12,Cohort 1: Placebo,2.41,16,1.38,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Lower Body Length,True,True,False,Cohort 3: Vosoritide,4.41,1.53,11,Cohort 1: Placebo,2.41,16,2.0,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Upper Leg Length (Thigh),True,True,False,Cohort 1: Vosoritide,1.55,1.46,19,Cohort 1: Placebo,0.82,16,0.73,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Upper Leg Length (Thigh),True,True,False,Cohort 2: Vosoritide,1.1,1.42,12,Cohort 1: Placebo,0.82,16,0.28,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Upper Leg Length (Thigh),True,True,False,Cohort 3: Vosoritide,1.93,1.65,11,Cohort 1: Placebo,0.82,16,1.11,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Knee to Heel Length,True,True,False,Cohort 1: Vosoritide,2.21,0.67,19,Cohort 1: Placebo,1.52,16,0.69,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Knee to Heel Length,True,True,False,Cohort 2: Vosoritide,2.29,1.91,12,Cohort 1: Placebo,1.52,16,0.77,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Knee to Heel Length,True,True,False,Cohort 3: Vosoritide,3.12,0.85,11,Cohort 1: Placebo,1.52,16,1.6,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Tibial Length,True,True,False,Cohort 1: Vosoritide,1.16,1.35,19,Cohort 1: Placebo,0.85,16,0.31,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Tibial Length,True,True,False,Cohort 2: Vosoritide,1.99,0.8,12,Cohort 1: Placebo,0.85,16,1.14,,
NCT03583697,Achondroplasia,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondroplasia,BMN 111 ; Placebo,placebo,cm,"Change From Baseline in Other Growth Measures (Upper Body Length, Head Circumference, Arm Span, Upper Arm Length, Lower Arm Length, Lower Body Length, Upper Leg Length, Knee to Heel Length, and Tibial Length) at Week 52",Tibial Length,True,True,False,Cohort 3: Vosoritide,1.39,0.77,11,Cohort 1: Placebo,0.85,16,0.54,,
NCT00174187,Endocrine System Diseases,Treatment With Recombinant Human Growth Hormone (GH) in Children With Short Stature Secondary to a Long Term Corticoid Therapy,Somatropin,active-comparator,cm/yr,Growth Velocity (GV),"Year 1 (n = 14, 15)",True,True,False,Somatropin- Up To Year 3 (Nephrotic Syndrome),8.3,,15,Somatropin- Up To Year 3 (Juvenile Idiopathic Arthritis),6.5,15,1.8,,
NCT00174187,Endocrine System Diseases,Treatment With Recombinant Human Growth Hormone (GH) in Children With Short Stature Secondary to a Long Term Corticoid Therapy,Somatropin,active-comparator,cm/yr,Growth Velocity (GV),"Year 2 (n = 14, 15)",True,True,False,Somatropin- Up To Year 3 (Nephrotic Syndrome),7.0,,15,Somatropin- Up To Year 3 (Juvenile Idiopathic Arthritis),5.3,15,1.7,,
NCT00174187,Endocrine System Diseases,Treatment With Recombinant Human Growth Hormone (GH) in Children With Short Stature Secondary to a Long Term Corticoid Therapy,Somatropin,active-comparator,cm/yr,Growth Velocity (GV),"Year 3 (n = 14, 14)",True,True,False,Somatropin- Up To Year 3 (Nephrotic Syndrome),5.9,,15,Somatropin- Up To Year 3 (Juvenile Idiopathic Arthritis),4.5,15,1.4,,
NCT00174187,Endocrine System Diseases,Treatment With Recombinant Human Growth Hormone (GH) in Children With Short Stature Secondary to a Long Term Corticoid Therapy,Somatropin,active-comparator,Z,Growth Velocity Standard Deviation Score According to Chronological Age (GV [SDS/CA]),"Year 1 (n = 14, 15)",True,True,False,Somatropin- Up To Year 3 (Nephrotic Syndrome),1.3,,15,Somatropin- Up To Year 3 (Juvenile Idiopathic Arthritis),1.0,15,0.3,,
NCT00174187,Endocrine System Diseases,Treatment With Recombinant Human Growth Hormone (GH) in Children With Short Stature Secondary to a Long Term Corticoid Therapy,Somatropin,active-comparator,Z,Growth Velocity Standard Deviation Score According to Chronological Age (GV [SDS/CA]),"Year 2 (n = 14, 15)",True,True,False,Somatropin- Up To Year 3 (Nephrotic Syndrome),2.9,,15,Somatropin- Up To Year 3 (Juvenile Idiopathic Arthritis),0.1,15,2.8,,
NCT00174187,Endocrine System Diseases,Treatment With Recombinant Human Growth Hormone (GH) in Children With Short Stature Secondary to a Long Term Corticoid Therapy,Somatropin,active-comparator,Z,Growth Velocity Standard Deviation Score According to Chronological Age (GV [SDS/CA]),"Year 3 (n = 14, 14)",True,True,False,Somatropin- Up To Year 3 (Nephrotic Syndrome),2.9,,15,Somatropin- Up To Year 3 (Juvenile Idiopathic Arthritis),0.4,15,2.5,,
