param_id,row_index,layer,node_id,parameter,value,value_min,value_max,unit,conditions,species,site,age,sex,source_ref,uncertainty,value_unverified,superseded_model,notes
p_1b414991b9,p00417,L13,micromass_culture,zonal organisation reproduced in micromass culture,none,,,qualitative,no resting/proliferative/hypertrophic axis forms,in_vitro_human_cell,,,,zhang2025_2,stated as an unmet challenge in the field review,False,False,
p_82608a8327,p00418,L13,mouse_model_translation_risk,"mouse translation risk score (this layer, 1-5)",4.0,4.0,4.0,score,"mean of fusion competence 5, architecture 2, scale 4, tempo 5",mouse,,,,yu2025,"ATLAS-ASSIGNED SCORE, NOT A REPORTED VALUE. The scoring scheme is defined in this node and the axis scores are this atlas's judgement. source_ref names the anchor primary for the model (yu2025); that paper does not contain this number and must not be cited for it.",False,False,
p_6533aaa0e4,p00419,L13,mouse_model_translation_risk,"proliferative chondrocyte cycle time, rodent vs human",2 vs 20,,,days,rodent literature value quoted against the human estimate derived in the same paper,multiple,,,,kember1976,"human value derived, not directly measured",False,False,
p_15adf0095a,p00420,L13,mouse_model_translation_risk,mouse growth plate status at 55 weeks,"persistent calcified cartilage, no bony replacement",,,qualitative,SEM/EDX and immunohistochemistry,mouse,,,,yu2025,observational,False,False,
p_77a26ddd3f,p00421,L13,mri_physis_imaging,age above which growth cartilage layers ceased to be resolvable at 7 T,13,13.0,13.0,years,"six healthy children aged 6-15, gradient-echo phase imaging, 28-channel knee coil",human,,,,dymerska2018,n=6; layers visible in all children up to age 13,False,False,
p_9a883d34af,p00422,L13,mri_physis_imaging,target cellular dimension not resolvable by any in vivo MRI,10-20,10.0,20.0,um,growth plate chondrocyte diameter,human,,,,white2008,derived from measured hypertrophic cell volume,False,False,
p_c26cafc27b,p00423,L13,nonhuman_primate_growth,"non-human primate translation risk score (this layer, 1-5)",1.25,1.25,1.25,score,"mean of fusion competence 2, architecture 1, scale 1, tempo 1",multiple,,,,li2023,"ATLAS-ASSIGNED SCORE, NOT A REPORTED VALUE. The scoring scheme is defined in mouse_model_translation_risk and the axis scores are this atlas's judgement. source_ref names the anchor primary for the model (li2023); that paper does not contain this number and must not be cited for it.",False,False,
p_6189331137,p00424,L13,nonhuman_primate_growth,cynomolgus monkeys with unclosed lumbar vertebral growth plate cartilage,11 of 11,,,animals,normal adult animals aged approximately 9-15 years,multiple,,,,iwata2018,every endplate examined,False,False,
p_82f5bc3071,p00425,L13,ovine_growth_plate_model,"sheep translation risk score (this layer, 1-5)",1.75,1.75,1.75,score,"mean of fusion competence 3, architecture 1, scale 1, tempo 2",ovine,,,,williams2001,"ATLAS-ASSIGNED SCORE, NOT A REPORTED VALUE. The scoring scheme is defined in mouse_model_translation_risk and the axis scores are this atlas's judgement. source_ref names the anchor primary for the model (williams2001); that paper does not contain this number and must not be cited for it.",False,False,
p_b48a363970,p00426,L13,porcine_growth_plate_model,"pig translation risk score (this layer, 1-5)",1.5,1.5,1.5,score,"mean of fusion competence 2, architecture 1, scale 1, tempo 2",porcine,,,,thurston1985,"ATLAS-ASSIGNED SCORE, NOT A REPORTED VALUE. The scoring scheme is defined in mouse_model_translation_risk and the axis scores are this atlas's judgement. source_ref names the anchor primary for the model (thurston1985); that paper does not contain this number and must not be cited for it.",False,False,
p_2f58598c45,p00427,L13,porcine_growth_plate_model,"labelling index, proliferation zone",4.0-10.6,4.0,10.6,%,"distal femur, five pigs; 10.6% at 8.0 months, 8.5% at 8.5 months, 7.3% at 10.5 months in the three precisely aged animals; 5.6% and 4.0% in two abattoir animals of uncertain age",porcine,,,,thurston1985,"range across five animals; the two lowest values come from the two animals whose ages the authors could not establish, and the authors themselves discount those two",False,False,
p_d8a8e5cae0,p00428,L13,porcine_growth_plate_model,proliferation zone cells per column,30-36,30.0,36.0,cells,"distal femur, five pigs, estimated from the labelling profiles",porcine,,,,thurston1985,"range across five animals (30, 36, 31, 34, 30); estimated from histogram shape, no dispersion reported",False,False,
p_f416c9557d,p00429,L13,porcine_growth_plate_model,terminal hypertrophic cell height along the growth axis,22-35,22.0,35.0,um,"distal femur, five pigs, mean of 20 cells each along the metaphyseal border",porcine,,,,thurston1985,"range across five animals (29, 22, 27, 35, 32 um); decalcified paraffin histology",False,False,
p_cc3ce63d4b,p00430,L13,proteomics_growth_plate,human donors in the only human growth plate proteomic study located,10,10.0,10.0,donors,"6 amputation for osteosarcoma or trauma, 4 polydactyly",human,,,,xie2025,stated in methods,False,False,
p_d6b7c84270,p00431,L13,proteomics_growth_plate,human donors in the only human growth plate ToF-SIMS study,3,3.0,3.0,donors,"polydactyly specimens, large-area chemical imaging",human,,,,zoehrer2025,stated in abstract,False,False,
p_dfcf392b84,p00432,L13,proteomics_growth_plate,zone-resolved human growth plate proteomes,0,0.0,0.0,datasets,sweep 2026-08-05,human,,,,geo_census_l13b_20260805,see search log g_l13b_006,False,False,
p_8f952e5faf,p00433,L13,rabbit_growth_plate_model,"rabbit translation risk score (this layer, 1-5)",2.25,2.25,2.25,score,"mean of fusion competence 1, architecture 2, scale 3, tempo 3",rabbit,,,,weise2001,"ATLAS-ASSIGNED SCORE, NOT A REPORTED VALUE. The scoring scheme is defined in mouse_model_translation_risk and the axis scores are this atlas's judgement. source_ref names the anchor primary for the model (weise2001); that paper does not contain this number and must not be cited for it.",False,False,
p_d0a26f0b21,p00434,L13,rat_growth_plate_model,"rat translation risk score (this layer, 1-5)",3.5,3.5,3.5,score,"mean of fusion competence 5, architecture 2, scale 3, tempo 4",rat,,,,roach2003,"ATLAS-ASSIGNED SCORE, NOT A REPORTED VALUE. The scoring scheme is defined in mouse_model_translation_risk and the axis scores are this atlas's judgement. source_ref names the anchor primary for the model (roach2003); that paper does not contain this number and must not be cited for it.",False,False,
p_63f9c18624,p00435,L13,rat_growth_plate_model,age at which rat plates persist with growth ceased,62-80,62.0,80.0,weeks,"Wistar rats, femur and tibia, compared with 2-16 week animals",rat,,,,roach2003,as reported,False,False,
p_6ad27b0248,p00436,L13,rat_growth_plate_model,rat zonal microarray replication vs human,35 vs 10,,,arrays,gse16981 rat zones against gse9160 human zones,multiple,,,,gse16981,GEO sample counts,False,False,
p_98e27e6d1f,p00437,L13,scrna_seq_growth_plate,"GEO growth plate single-cell records, all species",60,60.0,60.0,records,GEO DataSets 2026-08-05,multiple,,,,geo_census_20260805,point-in-time census,False,False,
p_016ccb64cf,p00438,L13,scrna_seq_growth_plate,"GEO growth plate single-cell records, human",18,18.0,18.0,records,"same query, Homo sapiens restriction",human,,,,geo_census_20260805,"includes fetal, iPSC-derived and tumour-adjacent records",False,False,
p_bc78a054a5,p00439,L13,scrna_seq_growth_plate,human donors in the only postnatal human growth plate scRNA-seq deposit,4,4.0,4.0,donors,"epiphysiodesis, ages 11-14, 14 samples",human,,,,gse288028,raw human sequence data withheld from the repository,False,False,
p_cab091a351,p00440,L13,snrna_seq_growth_plate,human growth plate single-nucleus RNA-seq datasets located,0,0.0,0.0,datasets,GEO and Europe PMC sweep 2026-08-05,human,,,,geo_census_l13b_20260805,see search log g_l13b_006,False,False,
p_f401e32a4f,p00441,L13,spatial_transcriptomics_growth_plate,"GEO records matching growth plate AND spatial, all species",7,7.0,7.0,records,"GEO DataSets, 2026-08-05",multiple,,,,geo_census_20260805,point-in-time census,False,False,
p_008498526e,p00442,L13,spatial_transcriptomics_growth_plate,"GEO records matching growth plate AND spatial, Homo sapiens",0,0.0,0.0,records,same query with organism restriction,human,,,,geo_census_20260805,exact zero; see gap g_l13data_001,False,False,
p_fe91f2e9ca,p00443,L13,spatial_transcriptomics_growth_plate,human spatial transcriptomic samples of limb cartilage that DO exist,5-9 post-conception weeks,,,developmental stage,"Visium plus scRNA-seq, whole hindlimb sagittal sections",human,,,,zhang2024_2,pre-growth-plate stage; does not close the zonal gap,False,False,
p_b4d99c011b,p00444,L13,stadiometry_measurement_error,diurnal variation in human stature,measurable loss across the waking day with recovery on recumbency,,,qualitative,"adult subjects, repeated stadiometry",human,,,,reilly1984,magnitude not extracted here; see access_queue,False,False,
p_ebf927011a,p00445,L13,stereology_growth_plate,"mean hypertrophic chondrocyte volume, human distal tibia",5900,5900.0,5900.0,um3,"adolescent physis in physiological epiphysiodesis, distal 100 um of HZ, n=1 plate",human,,,,white2008,"no significant difference between anterior, central, posterior regions",False,False,
p_5cbf0a89d6,p00446,L13,stereology_growth_plate,fraction of central physeal region occupied by transphyseal bridging bone,46,46.0,46.0,% of volume,same single human distal tibial physis,human,,,,white2008,n=1,False,False,
p_a25cacfa2f,p00447,L13,synchrotron_imaging_cartilage,"synchrotron phase-contrast voxel size, human articular cartilage survey",2.75,2.75,2.75,um,49 deceased donors aged 18-85 plus 4 osteoarthritis patients,human,,,,b2026,validated against 0.65 um tomographs in 2 donors,False,False,
p_63b475d26c,p00448,L13,synchrotron_imaging_cartilage,"synchrotron phase-contrast voxel size, human calcified cartilage and subchondral bone lacunae",0.65,0.65,0.65,um,"human knee, 3D lacunar segmentation",human,,,,xu2024,stated resolution,False,False,
p_09d6883563,p00449,L13,synchrotron_imaging_cartilage,synchrotron studies of human GROWTH PLATE located,0,0.0,0.0,studies,Europe PMC sweep 2026-08-05,human,,,,geo_census_l13b_20260805,see search log g_l13b_004,False,False,
p_a220ae8e11,p00450,L13,tamoxifen_inducible_creert2,human applications of inducible genetic fate mapping in growth plate,0,0.0,0.0,studies,structurally impossible,human,,,,human_gp_donor_census_20260805,categorical,False,False,
p_b074e92884,p00451,L13,tetracycline_labeling,human growth plate tetracycline labelling studies located,0,0.0,0.0,studies,Europe PMC sweep 2026-08-05,human,,,,geo_census_l13b_20260805,see search log g_l13b_007,False,False,
p_0cdd6d31da,p00452,L13,zebrafish_skeletal_model,"zebrafish translation risk score (this layer, 1-5)",5.0,5.0,5.0,score,"mean of fusion competence 5, architecture 5, scale 5, tempo 5",zebrafish,,,,le2022,"ATLAS-ASSIGNED SCORE, NOT A REPORTED VALUE. The scoring scheme is defined in mouse_model_translation_risk and the axis scores are this atlas's judgement. source_ref names the anchor primary for the model (le2022); that paper does not contain this number and must not be cited for it.",False,False,
p_d9e97ca829,p00453,L1,appositional_growth,expansion-to-elongation ratio,0.18,0.18,0.18,dimensionless ratio,"mouse distal femur, E17.5-E18.5, micro-CT of registered bones",mouse,,,,rubin2024,computed from equivalent radius change over elongation,False,False,
p_f6caf387d1,p00454,L1,appositional_growth,expansion-to-elongation ratio,0.16,0.16,0.16,dimensionless ratio,"mouse proximal tibia, E17.5-E18.5",mouse,,,,rubin2024,as above,False,False,
p_3bd401a691,p00455,L1,appositional_growth,expansion-to-elongation ratio,0,0.0,0.0,dimensionless ratio,"mouse distal femur, P32-P40",mouse,,,,rubin2024,expansion negligible relative to elongation,False,False,
p_39c4dcb633,p00456,L1,appositional_growth,expansion-to-elongation ratio,0.04,0.04,0.04,dimensionless ratio,"mouse proximal tibia, P32-P40",mouse,,,,rubin2024,non-monotonic decrease seen in proximal fibula and distal tibia,False,False,
p_752af32062,p00457,L1,bone_modeling_drift,"expansion-to-elongation ratio at the chondro-osseous junction, postnatal",0-0.04,0.0,0.04,dimensionless ratio,mouse distal femur and proximal tibia P32-P40; sets the width the drift process must subsequently reshape,mouse,,,,rubin2024,as reported,False,False,
p_d1c0bde1c6,p00458,L1,borderline_zone,orientation of borderline chondrocytes relative to columnar chondrocytes,perpendicular,,,qualitative,mouse growth plate periphery adjacent to perichondrium,mouse,,,,mizuhashi2019,descriptive,False,False,
p_b08ff4905c,p00459,L1,borderline_zone,location of residual disorganised clusters in the postnatal growth plate,outer edges,,,qualitative,"P40 mouse distal femur and proximal tibia, 3D Confetti clonal analysis",mouse,,,,rubin2024,n = 1129 (distal femur) and 1154 (proximal tibia) clusters,False,False,
p_5edd99a316,p00460,L1,cartilage_canal,temporal relation of cartilage canals to the secondary ossification centre,canals precede the centre,,,qualitative,mammalian long bone epiphysis,mouse,,,,blumer2008,descriptive review of primary work,False,False,
p_323e5902e9,p00461,L1,cartilage_canal,mechanism of new vessel formation in human ossification centres,"sprouting from bone collar or intussusception, not endothelial progenitor recruitment",,,qualitative,"human polydactylous digit growth plates, CD34/CD31/CD133/VEGFR-2 immunostaining",human,,,,walzer2014,descriptive,False,False,
p_77a3973b22,p00462,L1,cartilage_septum_resorption,direction of cartilage septal thickness change with age,increasing,,,qualitative,"human rib growth plate, birth to adolescence",human,,,,byers2000,absolute values not available from abstract,False,False,
p_6b99fefc30,p00463,L1,cartilage_septum_resorption,septal removal rate implied by steady state,1 per 3,,,cells per hour per column,rat proximal tibia,rat,,,,hunziker1987,equivalently 8 per day,False,False,
p_5498e14252,p00464,L1,cartilage_septum_resorption,matrix compartment targeted by invading endothelium,non-calcified pericellular and territorial matrix,,,qualitative,"distal hypertrophic zone, Yucatan swine",porcine,,,,farnum1989,descriptive,False,False,
p_8be14a953c,p00465,L1,cartilage_septum_resorption,orientation of hypertrophic cell columns relative to the bone axis,nearly parallel to the diaphyseal axis regardless of the local plate surface angle,,,"qualitative, with the plate surface inclined up to 60 degrees","bovine distal femur, ~12-month animals, 12 femora; gross morphology by hypochlorite maceration plus histology, alongside 86 tensile tests",bovine,,,,cohen1992,"The columns and transphyseal septa stay axial even where the primary contour of the physis is inclined as much as 60 degrees to the diaphyseal axis, so the axial architecture is independent of the plate surface geometry. The authors identify column orientation as one of the dominant microstructural features governing tensile behaviour of the bone-plate-bone specimen.",False,False,
p_df02ca0771,p00466,L1,cartilage_septum_resorption,relationship between composition and tensile properties across anatomical regions,greater collagen content in the regions that were stiffest and strongest,,,qualitative correlation,"bovine distal femoral physis, regions compared for ultimate stress and two tangent moduli against water content, sulfated GAG and hydroxyproline measured on adjacent tissue",bovine,,,,cohen1992,"PARTLY WITHDRAWS THE REVISED CLAIM IN g_l1arch_018 that no one has paired composition with mechanics in the same growth plate: cohen1992 does exactly that, by anatomical region, with least-squares regression of both material properties on collagen content. What is still unpaired is CROSS-LINK density specifically - collagen content and cross-link density are different quantities, and farquharson1996 shows they can move independently, since collagen concentration varies about 5-fold through the chick plate while pyridinoline varies about 18-fold and in a different pattern.",False,False,
p_206d079d10,p00467,L1,cell_cycle_time_pz,"total cell cycle time, proliferative zone",30.9,30.9,30.9,h,"proximal tibia, 28-day-old rat, repeated BrdU pulse labelling, regression of labelling index on inter-pulse interval",rat,,,,wilsman1996a,not reported; differences among plates tested at p<0.05,False,False,
p_15d5bf3745,p00468,L1,cell_cycle_time_pz,"total cell cycle time, proliferative zone",34.0,34.0,34.0,h,"distal radius, 28-day-old rat",rat,,,,wilsman1996a,not significantly different from proximal tibia,False,False,
p_c3842297ed,p00469,L1,cell_cycle_time_pz,"total cell cycle time, proliferative zone",48.7,48.7,48.7,h,"distal tibia, 28-day-old rat",rat,,,,wilsman1996a,"significantly different from proximal tibia, p<0.05",False,False,
p_69f9e770de,p00470,L1,cell_cycle_time_pz,"total cell cycle time, proliferative zone",76.3,76.3,76.3,h,"proximal radius, 28-day-old rat",rat,,,,wilsman1996a,"significantly different from all others, p<0.05",False,False,
p_c690ea045a,p00471,L1,cell_cycle_time_pz,S phase duration,3.4-6.1,3.4,6.1,h,"proliferative zone, four growth plates, 28-day-old rat",rat,,,,wilsman1996a,range across four plates,False,False,
p_82e6b0c61f,p00472,L1,cell_cycle_time_pz,G2 phase duration,3.0,3.0,3.0,h,"proliferative zone, 28-day-old rat",rat,,,,wilsman1996a,not reported,False,False,
p_380ad9775e,p00473,L1,cell_cycle_time_pz,M phase duration,0.5-0.6,0.5,0.6,h,"proliferative zone, 28-day-old rat",rat,,,,wilsman1996a,range across four plates,False,False,
p_1071db383e,p00474,L1,cell_cycle_time_pz,"mean cell cycle time, proliferative zone (derived, not measured)",20,20.0,20.0,days,"human distal femur, ages 5-8 y; the derivation is stated in full - new cells per day = growth rate / mean hypertrophic cell height = 38 um/day / 33 um = 1.2 per day, and cycle time = 24 proliferating cells / 1.2 = 20 days",human,,,,kember1976,"derived quantity, and derived from the growth rate it would be used to predict. Two further assumptions are load-bearing and both are stated by the authors: (i) the cell height IS the whole axial advance per cycle, i.e. matrix synthesis contributes nothing to elongation, which rat stereology contradicts (wilsman1996: cells are 50-69% of the volume removed at the junction); (ii) the proliferating fraction of the columnar zone is two-thirds, a ratio taken from the RABBIT, applied to a measured human count of 36 maturing-plus-proliferating cells to give 24.",False,False,
p_5d9608c767,p00475,L1,cell_cycle_time_pz,"mean cell cycle time, proliferative zone (lower bound, author-stated)",16,16.0,16.0,days,"human distal femur, ages 5-8 y; the authors' own lower bound, from their statement that it is unlikely that fewer than twenty cells lie in the proliferation zone",human,,,,kember1976,"a bound on the N_p input only; it does not relax the assumption that the cell height is the whole axial advance, which is the assumption that would raise the estimate rather than lower it",False,False,
p_6fa5c075dd,p00476,L1,cell_cycle_time_pz,"mean cell cycle time, proliferative zone (derived, not measured)",30,30.0,30.0,days,"human distal femur, 3.5-year-old specimen; same method, which the authors describe as less reliable data",human,,,,kember1976,single specimen; the authors give 20 days at 2 years and 30 days at 3.5 years and decline to estimate at all for the 13- and 14-year-olds because of growth-spurt variability,False,False,
p_a6b14ffa02,p00477,L1,cell_cycle_time_pz,"growth fraction, proliferative zone",0.89-0.99,0.89,0.99,fraction,"28-day-old Long-Evans rat, four growth plates; maximum cumulative BrdU labelling index, 0.99 proximal tibia, 0.99 distal radius, 0.98 distal tibia, 0.89 proximal radius",rat,,,,wilsman1996,"the labelling index is followed to plateau (43-81-99% at 12-24-48 h in the proximal tibia), so this is a measured saturation, not an assumption. It is the strongest available support for the 100%-growth-fraction assumption in the human derivations - in RAT, and lowest in the slowest plate, which is the direction that matters for a slow human plate.",False,False,
p_ab0e23b3fc,p00478,L1,cell_cycle_time_pz,"mean cell cycle time, proliferative zone (derived, not measured)",15,15.0,15.0,days,"human distal femur, 10-year-old girl; 28 measured proliferation-zone cells divided by 1.9 cells/day, where 1.9 = 38 um/day growth contribution / 20.5 um measured hypertrophic cell height",human,,,,thurston1985,"derived quantity, and derived from the growth rate it would be used to predict; assumes steady state and a 100% growth fraction; n=1 subject",False,False,
p_6b01872565,p00479,L1,cell_cycle_time_pz,"S phase duration (derived, not measured)",16,16.0,16.0,h,"human distal femur, from a 4.4% labelling index assuming cell age distribution proportional to phase duration",human,,,,thurston1985,the authors state explicitly that S-phase duration cannot be measured by this single-pulse method; this figure is an inference from the labelling index under an assumption the same paragraph calls doubtful for human tissue,False,False,
p_57e0b15a1a,p00480,L1,cell_cycle_time_pz,"S phase duration (derived, not measured)",22,22.0,22.0,h,"human distal femur, the 16 h figure after a +40% correction for a more probable cell age distribution taken from a rat computer simulation (Kember 1969)",human,,,,thurston1985,"the correction factor is rodent-derived and the authors doubt its applicability to man; the resulting value is longer than reported for any other human tissue, which the authors read as either method error or genuine hypoxic slowing",False,False,
p_4f3ff8d45a,p00481,L1,cell_cycle_time_pz,"labelling index, proliferation zone",4.4,4.4,4.4,%,"human distal femur, 10-year-old girl, 1 h in vitro tritiated thymidine, >=100 labelled cells scored",human,,,,thurston1985,n=1 subject; in vitro labelling of explanted tissue,False,False,
p_2490a369cf,p00482,L1,cell_cycle_time_pz,"labelling index, proliferation zone",3.4-4.0,3.4,4.0,%,"human metatarsals (3.4%) and distal fibula (4.0%), 18-month-old girl",human,,,,thurston1985,n=1 subject; the fibula is described by the authors as grossly abnormal,False,False,
p_bfef277ea6,p00483,L1,cell_cycle_time_pz,"labelling index, proliferation zone",10-15,10.0,15.0,%,"rodent during active growth, quoted by the authors as the comparison figure",rat,,,,thurston1985,quoted from a review (Kember 1983) rather than measured in this study; recorded only as the comparator the authors used,False,False,
p_482ff9db81,p00484,L1,cell_cycle_time_pz,"labelling index, proliferation zone",4.0-10.6,4.0,10.6,%,"pig distal femur, five animals; 10.6% at 8.0 months, 8.5% at 8.5 months and 7.3% at 10.5 months in the three precisely aged animals, i.e. falling with age",porcine,,,,thurston1985,two of the five animals were abattoir specimens of uncertain age and gave the two lowest indices; range across animals,False,False,
p_c42d0fc4ca,p00485,L1,cell_cycle_time_pz,"mean cell cycle time, proliferative zone",2,2.0,2.0,days,"rodent, as quoted for comparison by the authors",rat,,,,kember1976,author's comparison figure,False,False,
p_677058e4fc,p00486,L1,chondro_osseous_junction,chondrocyte elimination rate at the vascular front,1 per 3,,,cells per hour per column,"rat proximal tibia, steady-state growth",rat,,,,hunziker1987,equivalently 8 cells per column per day,False,False,
p_3970e10dbc,p00487,L1,chondro_osseous_junction,agreement between calculated cell production and cell loss,approximately equal,,,qualitative,"four growth plates, 28-day-old rat; internal consistency check on the kinetic model",rat,,,,wilsman1996,stated as approximate equality,False,False,
p_140e1a5179,p00488,L1,chondro_osseous_junction,matrix compartment penetrated by invading endothelial cells,non-calcified pericellular and territorial matrix,,,qualitative,"distal hypertrophic zone, swine and rat, serial light-microscopic sections",porcine,,,,farnum1989,descriptive,False,False,
p_fe4555a2d6,p00489,L1,chondrocyte_cluster,angular threshold separating clusters from columns,less than 60,,,degrees between clone long axis and proximal-distal bone axis,"mouse, 3D principal component analysis of Confetti clones",mouse,,,,rubin2024,author-defined threshold,False,False,
p_969a70de14,p00490,L1,chondrocyte_cluster,proportion of embryonic clones that are clusters,majority (>80% of doublets not stacked),,,% of doublets,E18.5 mouse distal femur and proximal tibia,mouse,,,,rubin2024,n = 1044 and 805 doublets,False,False,
p_67a5ed32b7,p00491,L1,chondrocyte_cluster,number of clusters analysed at P40,"1129 (distal femur), 1154 (proximal tibia)",,,clusters,"mouse, 3D imaging",mouse,,,,rubin2024,sample sizes as reported,False,False,
p_a2d1fc8800,p00492,L1,chondrocyte_cluster,complete rotations within postnatal clusters,"15.5 (distal femur), 17.3 (proximal tibia)",,,% of divisions,P40 mouse; versus 36-40% within columns,mouse,,,,rubin2024,n = 1129 and 1154 clusters,False,False,
p_d91108d68a,p00493,L1,chondrocyte_cluster,near-perfect rotations within postnatal clusters,"1.9 (distal femur), 3.0 (proximal tibia)",,,% of divisions,P40 mouse,mouse,,,,rubin2024,as reported,False,False,
p_dae54a947c,p00494,L1,chondrocyte_cluster,rotation-failure fraction above which a clone becomes a cluster,60,60.0,60.0,% of divisions,P40 mouse distal femur and proximal tibia; above this cumulative fraction a clone expands orthogonally,mouse,,,,rubin2024,author-stated tolerance threshold,False,False,
p_f87f481fde,p00495,L1,chondrocyte_column_formation,proportion of clonal doublets with completed rotation (60-90 degrees),17.6,17.6,17.6,% of doublets,"E18.5 mouse distal femur, Col2a1-CreER:R26R-Confetti pulsed E14.5, 3D imaging",mouse,,,,rubin2024,"n = 1044 doublets, 3 biologically independent samples, 9 independent experiments",False,False,
p_c742f329fa,p00496,L1,chondrocyte_column_formation,proportion of clonal doublets with completed rotation (60-90 degrees),19.4,19.4,19.4,% of doublets,E18.5 mouse proximal tibia,mouse,,,,rubin2024,"n = 805 doublets, 3 biologically independent samples",False,False,
p_28e5d9aae5,p00497,L1,chondrocyte_column_formation,proportion of complete rotations within postnatal columns,39.5,39.5,39.5,% of divisions,P40 mouse distal femur,mouse,,,,rubin2024,n = 737 columns,False,False,
p_1301fc78e1,p00498,L1,chondrocyte_column_formation,proportion of complete rotations within postnatal columns,36.4,36.4,36.4,% of divisions,P40 mouse proximal tibia,mouse,,,,rubin2024,n = 512 columns,False,False,
p_1e98525719,p00499,L1,chondrocyte_column_formation,proportion of near-perfect rotations (80-90 degrees) within postnatal columns,9.6,9.6,9.6,% of divisions,P40 mouse distal femur,mouse,,,,rubin2024,n = 737 columns,False,False,
p_1d4df2d4c2,p00500,L1,chondrocyte_column_formation,proportion of near-perfect rotations (80-90 degrees) within postnatal columns,8.2,8.2,8.2,% of divisions,P40 mouse proximal tibia,mouse,,,,rubin2024,n = 512 columns,False,False,
p_3fa72104d5,p00501,L1,chondrocyte_column_formation,proportion of complete rotations within postnatal clusters,15.5,15.5,15.5,% of divisions,P40 mouse distal femur clusters,mouse,,,,rubin2024,n = 1129 clusters,False,False,
p_04cfeb7a63,p00502,L1,chondrocyte_column_formation,tolerance of a column for incomplete rotations,60,60.0,60.0,% of divisions,P40 mouse; above this fraction the clone expands orthogonally and becomes a cluster,mouse,,,,rubin2024,author-stated threshold based on elevation-angle analysis,False,False,
p_96cae85157,p00503,L1,chondrocyte_column_formation,"clone long-axis to short-axis ratio, embryonic",0.201,0.201,0.201,PC3/PC1 ratio (mean),"E18.5 mouse distal femur clones, principal component analysis",mouse,,,,rubin2024,SD 0.109,False,False,
p_8fbe53d0c5,p00504,L1,chondrocyte_column_formation,"clone long-axis to short-axis ratio, embryonic",0.226,0.226,0.226,PC3/PC1 ratio (mean),E18.5 mouse proximal tibia clones,mouse,,,,rubin2024,SD 0.119,False,False,
p_f6e19d5080,p00505,L1,chondrocyte_hypertrophy,change in final cell height during growth acceleration,increased,,,qualitative,"rat proximal tibia, 21 to 35 days; lateral diameter decreased, final volume slightly reduced",rat,,,,hunziker1989,direction reported; magnitudes not in abstract,False,False,
p_0bf86018c7,p00506,L1,chondrocyte_hypertrophy,duration of the hypertrophic phase,2,2.0,2.0,days,"rat proximal tibia, constant across 21, 35 and 80 days",rat,,,,hunziker1989,approximate,False,False,
p_43e413517b,p00507,L1,chondrocyte_hypertrophy,fraction of elongation contributed by hypertrophy,59,59.0,59.0,% of elongation,"proximal tibia, 28-day-old rat",rat,,,,wilsman1996,falls to 44% in the slow proximal radius,False,False,
p_bf8a2b2b6b,p00508,L1,chondrocyte_hypertrophy,dry mass dilution during the swelling phase,60,60.0,60.0,% reduction in density,"mouse hypertrophic chondrocytes, tomographic phase microscopy",mouse,,,,cooper2013,approximate,False,False,
p_f5b17bf403,p00509,L1,chondrocyte_hypertrophy,"expansion of rough endoplasmic reticulum, Golgi and mitochondria",2-5,2.0,5.0,fold,"rat proximal tibia, proliferative to late hypertrophic",rat,,,,hunziker1987,range across compartments,False,False,
p_9ccbb816e7,p00510,L1,chondrocyte_proliferation_rate,"new chondrocytes produced per day, whole plate",16400,16400.0,16400.0,cells/day,"proximal tibia, 28-day-old Long-Evans rat",rat,,,,wilsman1996,not reported,False,False,
p_8f547ec7c1,p00511,L1,chondrocyte_proliferation_rate,"new chondrocytes produced per day, whole plate",3700,3700.0,3700.0,cells/day,"proximal radius, 28-day-old Long-Evans rat",rat,,,,wilsman1996,not reported,False,False,
p_9457ece6fd,p00512,L1,chondrocyte_proliferation_rate,chondrocytes produced and lost per column per day,8,8.0,8.0,cells/day,"rat proximal tibia, steady state",rat,,,,hunziker1987,one every 3 h,False,False,
p_58831fdb20,p00513,L1,chondrocyte_proliferation_rate,change in longitudinal proliferation rate during physiological growth acceleration,unchanged,,,qualitative,"rat proximal tibia, 21 to 35 days",rat,,,,hunziker1989,explicitly reported as unchanged while cell height increased,False,False,
p_e4a7e4e2f9,p00514,L1,chondrocyte_proliferation_rate,"chondrocytes produced per column per day (derived, not measured)",1.9,1.9,1.9,cells/day,"human distal femur, 10-year-old girl; 38 um/day mean growth contribution divided by the measured 20.5 um terminal hypertrophic cell height",human,,,,thurston1985,"derived from the growth rate, so it cannot be used to predict the growth rate; the 38 um/day is the midpoint of a 1.1-1.7 cm/yr radiographic range for 10-year-old girls, not a measurement on this subject; n=1",False,False,
